mol_id,smiles,rs,scaffold
XS061098d,CC1CC=2C=CC=CC2N1C(=O)C=3C=C(Cl)C=CN3,1.154,O=C(c1ccccn1)N1CCc2ccccc21
XS843077a,CC=1C=CC(=CN1)CNC(=O)C2COC=3C=CC=CC3C2,0.74,O=C(NCc1cccnc1)C1COc2ccccc2C1
XS843069a,CC1C=2C=CSC2CCN1C(=O)C=3C=CC(C#N)=CC3,0.86,O=C(c1ccccc1)N1CCc2sccc2C1
XS840076b,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F,0.904,O=c1ccccn1Cc1nnn[nH]1
XS838263b,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O,2.31,C1=NN(c2ccccc2)C(c2ccccc2)C1
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,9.65,O=c1ccncn1CCCOc1ccccc1
XS843083a,CC(SCC(=O)NC(N)=O)C=1C(F)=CC=CC1F,0.71,c1ccccc1
XS843079a,CC(C)C1=CC(=NN1)C(=O)NC2CCOC=3C=CC=CC32,2.814,O=C(NC1CCOc2ccccc21)c1cc[nH]n1
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,5.454,O=C(OC1CCNC1=O)c1cn[nH]c1-c1cccs1
XS843093a,COCCOC=1C=CC(=CN1)NC(=O)C2CCC(=O)NC2,1.118,O=C1CCC(C(=O)Nc2cccnc2)CN1
XS546353b,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3,1.438,O=C(NCC1CC1)Nc1nc(-c2ccccc2)ns1
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,2.624,O=C(NC1CCCc2[nH]ncc21)c1cc2ccccc2[nH]1
XS599656b,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3,2.688,O=C(NCCc1ccccc1)c1ccc2nccnc2c1
XS838415b,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34,4.386,c1csc(Cc2noc(-c3ccnn4ccnc34)n2)c1
XS843092a,O=C(NC1CCCCNC1=O)C2=CSC=3CCCCC23,13.432,O=C(NC1CCCCNC1=O)c1csc2c1CCCC2
XS840670b,O=C(NC=1C=NNC1)C2CC(=NO2)C3=CC=C(Cl)S3,6.632,O=C(Nc1cn[nH]c1)C1CC(c2cccs2)=NO1
XS677064b,CC1=CC=C(O1)C(=O)N2CCCC(O)(CN3C=CN=N3)C2,1.492,O=C(c1ccco1)N1CCCC(Cn2ccnn2)C1
XS840712b,CC1(CCCCC1(F)F)C2=NC(=NO2)N3CCOCC3,1.992,C1CCC(c2nc(N3CCOCC3)no2)CC1
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34,1.724,O=C1CCC(c2ccc(-c3n[nH]c4ccccc34)cc2)N1
XS843091a,O=C1NCCCCC1SC2=NC(=CN2)C=3C=CC=CC3,0.812,O=C1NCCCCC1Sc1nc(-c2ccccc2)c[nH]1
XS838057b,CCOC(=O)C1=COC(=N1)NC2COC=3C=C(C#N)C=CC32,4.386,c1ccc2c(c1)OCC2Nc1ncco1
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3,0.438,O=C(Cc1cccs1)N1CCCC(n2cccn2)C1
XS840330b,CCOC(=O)C(NC(=O)C=1C=C(C)C=C(O)C1)C2=NN=NN2,0.9,O=C(NCc1nnn[nH]1)c1ccccc1
XS843102a,CC(NC(=O)C=1C=CC=CC1)C=2C=CC(=CC2)S(C)(=O)=O,0.714,O=C(NCc1ccccc1)c1ccccc1
XS560871b,CNC1CCCN(C1)C(=O)C2=CC=C(C=3C=CC=CC3)N2C,1.306,O=C(c1ccc(-c2ccccc2)[nH]1)N1CCCCC1
XS657069b,CC1=NC(=CN1)C(=O)N2CCCC(C2)C3=NOC(=N3)C(C)C,2.58,O=C(c1c[nH]cn1)N1CCCC(c2ncon2)C1
DR000792b,CC(C)CC1CCN(C1)C(=O)C=2C=CC(=CC2)N3C=CN=N3,1.756,O=C(c1ccc(-n2ccnn2)cc1)N1CCCC1
XS702260b,CCC1=NC(CN2C(=O)CC(C)(C2=O)C=3C=CC=CC3)=NO1,0.81,O=C1CC(c2ccccc2)C(=O)N1Cc1ncon1
XS843115a,O=C(NCC=1C=CC=2OCOC2C1)NC3CCS(=O)(=O)C3,1.1,O=C(NCc1ccc2c(c1)OCO2)NC1CCS(=O)(=O)C1
XS843111a,CC=1C=CC=2NC(=CC2C1)C(=O)N3CCCC(C3)N4C=CN=C4,5.732,O=C(c1cc2ccccc2[nH]1)N1CCCC(n2ccnc2)C1
XS838010b,CN(CC=1C=NNC1)C(C(=O)O)C=2C=CC(=CC2)C(F)(F)F,0.942,c1ccc(CNCc2cn[nH]c2)cc1
XS735582b,CC(C)(C)NC(=O)C1CSCN1C(=O)CC=2C=CC=CC2,1.034,O=C(Cc1ccccc1)N1CCSC1
XS837113d,COC=1C=CC2=CC(=CC=C2C1)C(=O)NC(C)C=3C=NN(C)C3,1.324,O=C(NCc1cn[nH]c1)c1ccc2ccccc2c1
XS840582b,CN1C=C(C=N1)CC(=O)NC(CO)C=2C=CC(Cl)=C(F)C2,0.796,O=C(Cc1cn[nH]c1)NCc1ccccc1
XS841268b,CN1C(=NC(=O)COCC2CCCO2)SC=3C=CC=CC31,1.426,O=C(COCC1CCCO1)N=c1[nH]c2ccccc2s1
XS836470b,CC1CCC2=NNC(C(=O)OCC3=CC=CN4N=CC=C34)=C2C1,7.02,O=C(OCc1cccn2nccc12)c1[nH]nc2c1CCCC2
XS549090b,COC=1C=CC2=C(C1)CCN2C(=O)C=3C=NN4CCC(C)CC34,8.718,O=C(c1cnn2c1CCCC2)N1CCc2ccccc21
XS842150b,O=C(NCC1CCC=CO1)C2=CC=3C(Cl)=CN=CC3S2,1.53,O=C(NCC1CCC=CO1)c1cc2ccncc2s1
XS837532b,C1=C(N=NN1C2CCC=3C=CC=NC32)C=4C=NC5=CC=CC=C5N4,22.684,c1cnc2c(c1)CCC2n1cc(-c2cnc3ccccc3n2)nn1
XS837966b,CCC1(CNC(=O)N2CCOC(CS(C)(=O)=O)C2)CCC1,1.444,O=C(NCC1CCC1)N1CCOCC1
XS420698b,CN1CC(CC1=O)C(=O)NC=2C=CC(=NC2)OCC(F)(F)F,7.524,O=C1CC(C(=O)Nc2cccnc2)CN1
XS843127a,NC(=O)C1=CC(=CN1)C(=O)N2CCC(F)(C2)C=3C=CC(F)=CC3,2.68,O=C(c1cc[nH]c1)N1CCC(c2ccccc2)C1
XS843133a,O=C(NC=1C=CC=C(F)C1)N(CC2=CC=CO2)CC3CCCO3,0.692,O=C(Nc1ccccc1)N(Cc1ccco1)CC1CCCO1
XS840112b,CC1C(=O)N(C)CCN1CC2=CSC(=N2)NC=3C=CC=CC3,3.212,O=C1CN(Cc2csc(Nc3ccccc3)n2)CCN1
XS839701b,CC1=CC=C(O1)C2CSCCN2CC=3N=NSC3Cl,1.61,c1coc(C2CSCCN2Cc2csnn2)c1
XS843139a,CC(OC=1C=CC(Cl)=CC1)C(=O)NCC2=NN=C3CCCN23,0.426,O=C(COc1ccccc1)NCc1nnc2n1CCC2
XS732695b,O=C(C=1C=CC=CC1OCC2CC2)N3CCCC(C3)N4C=CC=N4,0.422,O=C(c1ccccc1OCC1CC1)N1CCCC(n2cccn2)C1
XS843141a,N#CC=1C=CC=C(C1)NC(=O)C2CCCN(C2)C(=O)C=3C=COC3,0.554,O=C(Nc1ccccc1)C1CCCN(C(=O)c2ccoc2)C1
XS841975b,CC=1N=CSC1C2=CN(N=N2)C3CCCC=C3Br,0.764,C1=CC(n2cc(-c3cncs3)nn2)CCC1
XS841030b,COCC1C=2C=CC=CC2CN1C=3N=CC(=CN3)S(=O)(=O)F,7.882,c1cnc(N2Cc3ccccc3C2)nc1
XS685933b,O=S(=O)(NC=1C=NN(C1)CC2CCCO2)C=3C=CC=CC3F,0.75,O=S(=O)(Nc1cnn(CC2CCCO2)c1)c1ccccc1
XS841408b,CC=1N=C(C=2CC(CCC2N1)C3=NC(=NO3)C4CC4)C(F)(F)F,0.48,c1ncc2c(n1)CCC(c1nc(C3CC3)no1)C2
XS843140a,COC=1C=CC=CC1NC(=O)N(C)C(C)C2=CC=3C=CC=CC3O2,1.578,O=C(NCc1cc2ccccc2o1)Nc1ccccc1
XS601021b,CCC1=NN2CC(CCC2=N1)NCC=3C=CN(N3)C=4C=CC=CC4,1.78,c1ccc(-n2ccc(CNC3CCc4ncnn4C3)n2)cc1
XS581602b,O=C(NC=1C=CC=C(C1)C=2C=CC=3OCCC3C2)C4CNC(=O)C4,2.736,O=C1CC(C(=O)Nc2cccc(-c3ccc4c(c3)CCO4)c2)CN1
XS843137a,CC=1N=C(SC1C(=O)O)C(C)NC(=O)C=2C=CC(F)=C(C)C2,0.554,O=C(NCc1nccs1)c1ccccc1
XS841612b,CC=1C=C(NCC2CC(=NO2)C(F)(F)F)C(F)=CC1[N+]([O-])=O,1.112,C1=NOC(CNc2ccccc2)C1
XS843151a,CCN(CC)C(=O)C(C)NC(=O)C=1C=CC(=CC1)N2N=CC=C2C,4.144,c1ccc(-n2cccn2)cc1
XS483761b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(O)(CC(N)=O)C2,0.52,c1ccc(N2CCCCC2)cc1
XS843154a,O=C(NCC=1C=NN(C1)C=2C=CC=CC2)NC3CCCCNC3=O,1.858,O=C(NCc1cnn(-c2ccccc2)c1)NC1CCCCNC1=O
XS755929b,COC=1C=CC(=CC1)CC2CCCN2C(=O)CC=3C(C)=NOC3C,0.918,O=C(Cc1cnoc1)N1CCCC1Cc1ccccc1
XS843150a,CCC1=NC=2C=CC=CC2N1CC(O)COC=3C=CC(Cl)=CC3,1.468,c1ccc(OCCCn2cnc3ccccc32)cc1
MR045844c,CC1=CC=C(O1)C2CSCCN2C(=O)C=3C=C4N=CC=CN4N3,1.232,O=C(c1cc2ncccn2n1)N1CCSCC1c1ccco1
XS680773b,CC(NC(=O)NC=1C=CC=C(Cl)C1)C=2C=CC=3NC(=O)CC3C2,1.034,O=C1Cc2cc(CNC(=O)Nc3ccccc3)ccc2N1
XS843155a,O=C(CC1=CNC=2C=CC=CC12)N3CCN(CC3)C4CCOC4=O,12.124,O=C1OCCC1N1CCN(C(=O)Cc2c[nH]c3ccccc23)CC1
XS624222b,COCC=1C=CC=C(C1)CN2N=C(C)C(=C2C)C3CCCC(=O)N3,0.9,O=C1CCCC(c2cnn(Cc3ccccc3)c2)N1
XS836792b,COC=1N=CC(=CC1Cl)C(C)NC=2C=CC=3CCNC(=O)C3C2,0.806,O=C1NCCc2ccc(NCc3cccnc3)cc21
XS827038b,CC1=CC=C(CNC(=O)C2CC(=O)N(CC=3C=CC=CN3)C2)S1,0.58,O=C(NCc1cccs1)C1CC(=O)N(Cc2ccccn2)C1
XS842492b,CC(NC(=O)C=1C=CNN1)C=2C=CC(OC=3C=CC=NC3)=C(F)C2,1.494,O=C(NCc1ccc(Oc2cccnc2)cc1)c1cc[nH]n1
XS843163a,CC(C)CC=1C=CC(=CC1)C(C)NC(=O)CSC2=NC=CN2C,0.758,O=C(CSc1ncc[nH]1)NCc1ccccc1
XS843172a,C=1SC(=NC1CN2CCCC2CC=3C=CC=CC3)C=4N=CC=CN4,1.008,c1ccc(CC2CCCN2Cc2csc(-c3ncccn3)n2)cc1
XS843171a,COC=1C=CC=C(C1)C(=O)N2N=C(CC2C3=CC=CO3)C4=CC=CO4,0.672,O=C(c1ccccc1)N1N=C(c2ccco2)CC1c1ccco1
XS680664b,CC1=CSC(=N1)C2CCCN(C2)C(=O)CC=3C=CN(N3)C(C)C,0.44,O=C(Cc1cc[nH]n1)N1CCCC(c2nccs2)C1
XS655878b,COC=1C=CC(=CC1)C2=NC(=CO2)CS(=O)CC3CCCCC3,13.282,O=S(Cc1coc(-c2ccccc2)n1)CC1CCCCC1
XS843170a,COC=1C=CC(F)=CC1C(C)NC(=O)CN2C=CC(=O)N(C)C2=O,2.036,O=C(Cn1ccc(=O)[nH]c1=O)NCc1ccccc1
XS475199b,CC=1C=CC(=CC1C#N)C(=O)N2CCCC(C2)C3=NN=C4CCCN34,2.0,O=C(c1ccccc1)N1CCCC(c2nnc3n2CCC3)C1
XS843165a,COC=1C=CC(=CC1OC)C2CCCN2C(=O)C3=CC(Cl)=CN3,3.384,O=C(c1ccc[nH]1)N1CCCC1c1ccccc1
XS843167a,CCCC(C)NC(=O)CSCC1=NC(=NO1)C=2C=CC=CC2C,0.63,c1ccc(-c2ncon2)cc1
XS843166a,O=C1OC(=NN1CC(O)COC=2C=CC=CC2F)C3=CC=CS3,0.65,O=c1oc(-c2cccs2)nn1CCCOc1ccccc1
XS843162a,CCN(C)C(=O)C(C)NC(=O)C(C)(C)C=1C=CC=2OCCOC2C1,1.204,c1ccc2c(c1)OCCO2
XS843168a,O=C(O)CC(NC(=O)C=1C=C(NN1)C2CC2)C=3C=CC=CC3Cl,0.714,O=C(NCc1ccccc1)c1cc(C2CC2)[nH]n1
XS841113b,O=C(NC1=NC=C(S1)S(=O)(=O)F)C2(CC2)C3CCCCO3,3.746,O=C(Nc1nccs1)C1(C2CCCCO2)CC1
XS841607b,CC(C(=O)NC=1C=CC2=NSC=C2C1)N3C=CC(=N3)C(F)(F)F,6.588,O=C(Cn1cccn1)Nc1ccc2nscc2c1
XS823363b,O=C(NCC1CC=2C=CC=CC2O1)C=3C=CC=NC3N4CCCCC4,0.632,O=C(NCC1Cc2ccccc2O1)c1cccnc1N1CCCCC1
XS695035b,CC=1C=CC=C(C1C)N2CC(CC2=O)C(=O)NCC=3C=CC(F)=CC3,0.554,O=C(NCc1ccccc1)C1CC(=O)N(c2ccccc2)C1
XS825870b,CC1=C(OC=2C=CC(F)=CC12)C(=O)NC(C)C3=NN=C4C=CC=CN34,0.688,O=C(NCc1nnc2ccccn12)c1cc2ccccc2o1
XS843177a,COC=1C=C(N=CN1)C2=NOC(=N2)C3CC(C)(C)OC=4C=CC=CC43,0.894,c1ccc2c(c1)OCCC2c1nc(-c2ccncn2)no1
XS813863b,CC=1C=C(SC1C)C(=O)N(C)C(C)C=2C=CC(=CC2)N3C=NC=N3,15.596,O=C(NCc1ccc(-n2cncn2)cc1)c1cccs1
XS843176a,CC(C)N1CCC(NS(=O)(=O)CC2=NOC=3C=CC=CC23)C1=O,0.842,O=C1NCCC1NS(=O)(=O)Cc1noc2ccccc12
XS843186a,COC=1C=CC(=CC1)CCC(C)NC(=O)CC2=NOC=3C=CC=CC23,2.76,O=C(Cc1noc2ccccc12)NCCCc1ccccc1
XS728659b,O=C(C=1C=NN2CCCCC12)N3CCCC(CO)(C3)C=4C=CC=CC4,4.002,O=C(c1cnn2c1CCCC2)N1CCCC(c2ccccc2)C1
XS843179a,CC1=NC=2C=CC(=CC2S1)NC(=O)C(C)NC(=O)C=3C=CC=CC3,5.358,O=C(CNC(=O)c1ccccc1)Nc1ccc2ncsc2c1
XS843182a,CC(NC(=O)NCC=1C=CC(=NC1)N2C=CC=N2)C=3C=CC=C(F)C3,1.148,O=C(NCc1ccccc1)NCc1ccc(-n2cccn2)nc1
XS843184a,CNC(=O)C1CN(CCOC=2C=CC=C(C#N)C2)C=3C=CC=CC3O1,2.74,c1ccc(OCCN2CCOc3ccccc32)cc1
XS840823b,CC(CC1=CC=CS1)C(=O)N2CCN(CC2)C(=O)C=3C=CN=CC3,1.378,O=C(CCc1cccs1)N1CCN(C(=O)c2ccncc2)CC1
XS843194a,CC=1C=CC(Cl)=CC1NC(=O)C2CC(=O)N(CC=3C=CC=CN3)C2,0.406,O=C(Nc1ccccc1)C1CC(=O)N(Cc2ccccn2)C1
XS843195a,CCCOC=1C=CC=CC1NC(=O)C2CC(=NO2)C=3C=CC=C(F)C3,2.414,O=C(Nc1ccccc1)C1CC(c2ccccc2)=NO1
XS843196a,COC=1C=CC(=CC1)N2CC(CC2=O)C(=O)NC=3C=CC=NC3OC,7.25,O=C(Nc1cccnc1)C1CC(=O)N(c2ccccc2)C1
XS837397b,CC1=NC(=NO1)C(C)S(=O)(=O)C2=NC(=CS2)C3CCCCC3,1.034,O=S(=O)(Cc1ncon1)c1nc(C2CCCCC2)cs1
XS838814b,CN1N=NC(CN2CC(CS2(=O)=O)C=3C=CC=CC3)=C1C(F)F,0.798,O=S1(=O)CC(c2ccccc2)CN1Cc1c[nH]nn1
XS628045b,CCOC=1C=CC(=CC1)NC(=O)C(C)NC(=O)COC=2C=CC=CC2,1.504,O=C(COc1ccccc1)NCC(=O)Nc1ccccc1
XS843188a,CCNC(=O)CCC(=O)NC(C)C=1C=CC(=CC1)N2N=C(C)C=C2C,0.58,c1ccc(-n2cccn2)cc1
XS843193a,CCN1C=C(C#N)C(=O)N(CC(O)COC=2C=CC(C)=CC2C)C1=O,1.44,O=c1cc[nH]c(=O)n1CCCOc1ccccc1
XS839705b,CCCCS(=O)(=O)NC=1C=CC(=CC1)NC(C)C2=NN=C(C)O2,1.356,c1ccc(NCc2nnco2)cc1
XS843187a,CC(C)N(CC(=O)NC1CCS(=O)(=O)C1)C=2C=CC(Cl)=CC2,1.188,O=C(CNc1ccccc1)NC1CCS(=O)(=O)C1
XS641335b,O=C(NC1CCN(CC=2C=CC=CC2)C1=O)C=3N=CC=C4C=CC=CC34,18.836,O=C(NC1CCN(Cc2ccccc2)C1=O)c1nccc2ccccc12
XS843200a,CC(C)C(=O)N1CCC(CC1)C(=O)N2CCCCCC2C3=CC=CO3,2.72,O=C(C1CCNCC1)N1CCCCCC1c1ccco1
XS839299b,N#CC=1C=CC(=NN1)N(CCC2CC=CC2)CC(CO)C=3C=CC=CC3,2.628,C1=CCC(CCN(CCc2ccccc2)c2cccnn2)C1
XS843203a,COC=1C=CC(Cl)=CC1NC(=O)C(C)OC=2C=CC=CC2C(N)=O,0.402,O=C(COc1ccccc1)Nc1ccccc1
XS832132b,CC(NC=1C=CC=CC1)C(=O)NC=2C=CC=C(C2)S(=O)(=O)N(C)C,0.898,O=C(CNc1ccccc1)Nc1ccccc1
XS836559b,CC(NC(=O)CC1=CN(C)C=2C=CC=CC12)C=3C=CC=4NC(=O)NC4C3,0.898,O=C(Cc1c[nH]c2ccccc12)NCc1ccc2[nH]c(=O)[nH]c2c1
XS836610b,O=C1C=2C=CC=CC2NC(C=3C=CNN3)N1C=4C=CC=5OCCOC5C4,0.936,O=C1c2ccccc2NC(c2cc[nH]n2)N1c1ccc2c(c1)OCCO2
XS843199a,CC=1N=C(NC(=O)C2COCC(=O)N2CC=3C=CC=CC3)SC1C,3.908,O=C(Nc1nccs1)C1COCC(=O)N1Cc1ccccc1
XS843205a,CC(C)C=1C=CC(=CC1)OCCNC(=O)C(C)NC(=O)C2=CC=CO2,3.218,O=C(CNC(=O)c1ccco1)NCCOc1ccccc1
XS837477b,COC=1C=CC(C(=O)NCC(C)(O)CCO)=C(N)C1Br,0.87,c1ccccc1
XS841940b,O=C(NCC(F)C1CCNCC1)C=2C=CC(=CC2Cl)N3C=CC=N3,15.132,O=C(NCCC1CCNCC1)c1ccc(-n2cccn2)cc1
XS840472b,CC(CC=1C=CC=CC1)OC(=O)CCC2=NC3=C(N2)C(=O)NC(=O)N3C,10.286,O=C(CCc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)OCCc1ccccc1
XS843213a,O=C(CCCN1C(=O)OC=2C=CC=CC21)NC3CCCC=4C=CC=CC43,0.766,O=C(CCCn1c(=O)oc2ccccc21)NC1CCCc2ccccc21
XS842419b,CN(CC(=O)N1CCC(CC=2C=NN(C)C2)C1)C=3N=CN=C4N=CNC34,4.48,O=C(CNc1ncnc2nc[nH]c12)N1CCC(Cc2cn[nH]c2)C1
XS841640b,CC(NC(=O)C=1C=CC(F)=C2CCOC12)C=3C=CC(=CC3)N4C=NC=N4,11.798,O=C(NCc1ccc(-n2cncn2)cc1)c1cccc2c1OCC2
XS837609b,CC(NC(=O)N1CCOC=2C=CC=C(F)C2C1)C=3C=CC=4NN=CC4C3,0.478,O=C(NCc1ccc2[nH]ncc2c1)N1CCOc2ccccc2C1
XS757104b,O=C(CC1=CNC=2N=CC=CC12)N3CCCC(CO)(C3)C=4C=CC=CC4,1.172,O=C(Cc1c[nH]c2ncccc12)N1CCCC(c2ccccc2)C1
XS842362b,CC1=NN(C)C(=C1C(=O)NC2CCC=3C=CC=CC3OC2)N4C=CC=N4,3.946,O=C(NC1CCc2ccccc2OC1)c1cn[nH]c1-n1cccn1
XS843211a,CN1N=CC(C(=O)NCC2CCCN(C2)C(N)=O)=C1CC=3C=CC=CC3,0.424,O=C(NCC1CCCNC1)c1cn[nH]c1Cc1ccccc1
XS843218a,CN1N=CC=C1C(NC(=O)C2=CC=3C=CC(Cl)=C(F)C3N2)C(=O)O,1.204,O=C(NCc1ccn[nH]1)c1cc2ccccc2[nH]1
XS840985b,O=C(CCC1=NC(=NO1)C2=CC=CO2)OC(C3=CCCC3)C(F)(F)F,0.518,O=C(CCc1nc(-c2ccco2)no1)OCC1=CCCC1
XS774830b,CCC1=C(C=NN1C=2C=CC=C(Cl)C2)C(=O)NC3CCOC(C)(C)C3,1.554,O=C(NC1CCOCC1)c1cnn(-c2ccccc2)c1
XS444952b,CCC=1N=C(NC(=O)CCN2C(=O)C(C)OC=3C=CC=CC32)SC1C,1.522,O=C(CCN1C(=O)COc2ccccc21)Nc1nccs1
XS843222a,COC=1C=CC(=CC1)C(CNC(=O)C2=NNC=3C=CC=CC23)N4CCCC4,0.85,O=C(NCC(c1ccccc1)N1CCCC1)c1n[nH]c2ccccc12
XS843220a,CC(C)C(NC(=O)C=1C=CC(F)=CC1)C(=O)N2CCC=3SC=CC3C2,7.66,O=C(NCC(=O)N1CCc2sccc2C1)c1ccccc1
XS843223a,CC1CCCN(C1)S(=O)(=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3,0.46,O=C(NC1CCN(S(=O)(=O)N2CCCCC2)CC1)c1ccccc1
XS836549b,CCC=1OC(C)=CC1C(=O)NC2CCN(C(=O)C=3N=CN(C)N3)C2(C)C,0.444,O=C(NC1CCN(C(=O)c2nc[nH]n2)C1)c1ccoc1
XS837716b,CN(CC1CCCCC21CCC2)C3=NC=CN4C(=NN=C34)C=5C=NC=CN5,1.45,c1cnc(-c2nnc3c(NCC4CCCCC45CCC5)nccn23)cn1
XS843224a,CC(C(=O)NC=1C=CC=C(C1)NC(=O)CC=2C=CC(F)=CC2)N3C=CC=N3,2.566,O=C(Cc1ccccc1)Nc1cccc(NC(=O)Cn2cccn2)c1
XS836746b,CC=1C=CC(=CC1)S(=O)(=O)N(C)CC(=O)NNC(=O)C2CC=CCC2,6.666,O=C(CNS(=O)(=O)c1ccccc1)NNC(=O)C1CC=CCC1
XS074923c,COC=1C=CC(=CC1)S(=O)(=O)NC(C)C=2C=CC(=CC2)N3C=CN=C3,1.45,O=S(=O)(NCc1ccc(-n2ccnc2)cc1)c1ccccc1
XS841098b,COC=1C=CC(=CC1Cl)N(C#N)C(C)C(=O)N2CCN(CC2)C(C)=O,0.578,O=C(CNc1ccccc1)N1CCNCC1
XS843226a,CC=1C=NN(C)C1C(=O)NCC(C2=CNC=3C=CC=CC23)C=4C=CC=CC4,0.748,O=C(NCC(c1ccccc1)c1c[nH]c2ccccc12)c1ccn[nH]1
XS839608b,CC1CC=2C=C(C=C(Cl)C2O1)CC3=NC4=CN(N=C4C(=O)N3)C(F)F,1.15,O=c1[nH]c(Cc2ccc3c(c2)CCO3)nc2c[nH]nc12
XS843225a,COCCOC=1C=CC(=CC1OC)C(C)NC(=O)CC=2C(C)=NOC2C,0.576,O=C(Cc1cnoc1)NCc1ccccc1
DR002926c,C=C1COCC1NC(=O)C(=O)N(CCO)CC=2C=CC(Cl)=C(Cl)C2,1.112,C=C1COCC1NC(=O)C(=O)NCc1ccccc1
XS839010b,FCC1(CNC=2C=C(C=3C=CC=CC3)N4N=CN=C4N2)CC51CCOCC5,0.922,c1ccc(-c2cc(NCC3CC34CCOCC4)nc3ncnn23)cc1
XS837706b,CC1CN(CCN1C(=O)C2=CN=C3C=CC=CN3C2=O)C=4C=CC(F)=CN4,14.814,O=C(c1cnc2ccccn2c1=O)N1CCN(c2ccccn2)CC1
XS635896b,CC(OC=1C=CC(Br)=CC1)C(=O)NCC2=NC(=CS2)CO,0.46,O=C(COc1ccccc1)NCc1nccs1
XS057963g,CCC1C=2C=CSC2CCN1CC3=NC=4C=CC(Cl)=CC4N3CCO,2.28,c1ccc2[nH]c(CN3CCc4sccc4C3)nc2c1
XS843235a,CC1=NN(C)C=C1C2CCCN2S(=O)(=O)CCC3=NOC=4C=CC=CC34,1.052,O=S(=O)(CCc1noc2ccccc12)N1CCCC1c1cn[nH]c1
