mol_id,smiles,stage1_label,scaffold
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,1,O=C(OC1CCNC1=O)c1cn[nH]c1-c1cccs1
XS843093a,COCCOC=1C=CC(=CN1)NC(=O)C2CCC(=O)NC2,1,O=C1CCC(C(=O)Nc2cccnc2)CN1
XS546353b,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3,1,O=C(NCC1CC1)Nc1nc(-c2ccccc2)ns1
XS840114b,CCOC=1C=CC=C(CC(=O)N2CC(N)C3(CCC3)C2)N1,0,O=C(Cc1ccccn1)N1CCC2(CCC2)C1
XS843096a,CCN1CCCC1CNCC2=CNN=C2C3=CC=C(C)O3,0,c1coc(-c2n[nH]cc2CNCC2CCCN2)c1
XS811069b,COC=1C=CC=CC1NC(=O)NCCN2CCCCC2C,0,O=C(NCCN1CCCCC1)Nc1ccccc1
XS843094a,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3,0,O=C1NC(c2ccc(-c3ccccc3)cc2)CO1
XS843097a,CCC1=NC(=NO1)C2CCCN2CC3=NN=C(O3)C4CC4,0,c1nc(C2CCCN2Cc2nnc(C3CC3)o2)no1
XS606153b,CCN(CC)C(CNC(=O)C1=CC=CO1)C=2C=CC=CC2,0,O=C(NCCc1ccccc1)c1ccco1
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,1,O=C(NC1CCCc2[nH]ncc21)c1cc2ccccc2[nH]1
XS599656b,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3,1,O=C(NCCc1ccccc1)c1ccc2nccnc2c1
XS838415b,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34,1,c1csc(Cc2noc(-c3ccnn4ccnc34)n2)c1
XS843087a,CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2CC=CCC2,0,O=C(Nc1ccccc1)C1CC=CCC1
XS843092a,O=C(NC1CCCCNC1=O)C2=CSC=3CCCCC23,1,O=C(NC1CCCCNC1=O)c1csc2c1CCCC2
XS840670b,O=C(NC=1C=NNC1)C2CC(=NO2)C3=CC=C(Cl)S3,1,O=C(Nc1cn[nH]c1)C1CC(c2cccs2)=NO1
XS746901b,CC1=CSC(=N1)C2COCCN2CC=3C=CC=C(O)C3,0,c1ccc(CN2CCOCC2c2nccs2)cc1
XS677064b,CC1=CC=C(O1)C(=O)N2CCCC(O)(CN3C=CN=N3)C2,1,O=C(c1ccco1)N1CCCC(Cn2ccnn2)C1
XS843090a,O=C(C=1C=CC2=CN=CN2C1)N3CCCCC3C4=NC=CN4,0,O=C(c1ccc2cncn2c1)N1CCCCC1c1ncc[nH]1
XS840712b,CC1(CCCCC1(F)F)C2=NC(=NO2)N3CCOCC3,1,C1CCC(c2nc(N3CCOCC3)no2)CC1
XS331669b,O=C(C=1C=CC(O)=NC1)N2CCOC(CN3C=CN=N3)C2,0,O=C(c1cccnc1)N1CCOC(Cn2ccnn2)C1
XS843085a,CC=1N=NC(=C(C#N)C1C)N2CCC(C2)N3CCOCC3,0,c1cnnc(N2CCC(N3CCOCC3)C2)c1
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34,1,O=C1CCC(c2ccc(-c3n[nH]c4ccccc34)cc2)N1
XS843091a,O=C1NCCCCC1SC2=NC(=CN2)C=3C=CC=CC3,1,O=C1NCCCCC1Sc1nc(-c2ccccc2)c[nH]1
XS843109a,COC(=O)C(NC(=O)C=1C=CC(=NC1)N2C=CN=C2)C(C)C,0,c1ccc(-n2ccnc2)nc1
XS843107a,CN1C=CC(=C1)C(=O)N2CCCCC2C=3NN=CC3C(N)=O,0,O=C(c1cc[nH]c1)N1CCCCC1c1ccn[nH]1
XS838057b,CCOC(=O)C1=COC(=N1)NC2COC=3C=C(C#N)C=CC32,1,c1ccc2c(c1)OCC2Nc1ncco1
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3,1,O=C(Cc1cccs1)N1CCCC(n2cccn2)C1
XS843100a,CC(C(=O)NC(C)(C)C)N1CCN(CC=2C=CC=CC2)CC1,0,c1ccc(CN2CCNCC2)cc1
XS839585b,COC1(CNCC=2C=NC=C(F)C2)CCCS(=O)(=O)C1,0,O=S1(=O)CCCC(CNCc2cccnc2)C1
XS843105a,CCN1CCN(CC1C2=NC=CN2)C(=O)C=3C(C)=COC3C,0,O=C(c1ccoc1)N1CCNC(c2ncc[nH]2)C1
XS744525b,CCNC(=O)C1CCCN(C1)C=2C=CC=C(N2)C(F)(F)F,0,c1ccc(N2CCCCC2)nc1
XS843110a,CC=1N=CSC1C(=O)NC(C)C2=NN=C3CCCCCN23,0,O=C(NCc1nnc2n1CCCCC2)c1cncs1
XS840330b,CCOC(=O)C(NC(=O)C=1C=C(C)C=C(O)C1)C2=NN=NN2,1,O=C(NCc1nnn[nH]1)c1ccccc1
XS843102a,CC(NC(=O)C=1C=CC=CC1)C=2C=CC(=CC2)S(C)(=O)=O,1,O=C(NCc1ccccc1)c1ccccc1
XS843098a,CC1C2=CC=CN2CCN1CC(=O)NC3(C#N)CCCCC3,0,O=C(CN1CCn2cccc2C1)NC1CCCCC1
XS737839b,CC=1C=CC=CC1CN2CCN(CC2)C(=O)C3CCC(=O)N3,0,O=C1CCC(C(=O)N2CCN(Cc3ccccc3)CC2)N1
XS560871b,CNC1CCCN(C1)C(=O)C2=CC=C(C=3C=CC=CC3)N2C,1,O=C(c1ccc(-c2ccccc2)[nH]1)N1CCCCC1
XS683147b,CCN1C=NN=C1CNC(=O)C2=CSC=3CC(C)CCC23,0,O=C(NCc1nnc[nH]1)c1csc2c1CCCC2
XS843101a,CN1C=CC=C1C(=O)N2CCN(CC2)C3CCCCNC3=O,0,O=C1NCCCCC1N1CCN(C(=O)c2ccc[nH]2)CC1
XS843104a,O=C(NC1CCCCNC1=O)C=2N=CC=CC2C(F)(F)F,0,O=C(NC1CCCCNC1=O)c1ccccn1
XS839649b,CC(C)C1=NC=2CCC(CC2N1)C(=O)N3N=CC(C#N)=C3N,0,O=C(C1CCc2nc[nH]c2C1)n1cccn1
XS657069b,CC1=NC(=CN1)C(=O)N2CCCC(C2)C3=NOC(=N3)C(C)C,1,O=C(c1c[nH]cn1)N1CCCC(c2ncon2)C1
XS838852b,NC1COC2=CC(=NN2C1)C(=O)N3CCC=4C=CC(O)=CC43,0,O=C(c1cc2n(n1)CCCO2)N1CCc2ccccc21
DR000792b,CC(C)CC1CCN(C1)C(=O)C=2C=CC(=CC2)N3C=CN=N3,1,O=C(c1ccc(-n2ccnn2)cc1)N1CCCC1
XS843108a,CC(C)C(C)(C#N)NC(=O)CN(CC=1C=CC=CC1)C2CC2,0,c1ccc(CNC2CC2)cc1
XS843106a,CN1N=NC=C1CC(=O)N2CCCC2C=3C=CC(Cl)=CC3,0,O=C(Cc1cnn[nH]1)N1CCCC1c1ccccc1
XS702260b,CCC1=NC(CN2C(=O)CC(C)(C2=O)C=3C=CC=CC3)=NO1,1,O=C1CC(c2ccccc2)C(=O)N1Cc1ncon1
XS843118a,O=C(NC1CCCC2=C1C=NN2CC=3C=CC=CC3)N4CCC4,0,O=C(NC1CCCc2c1cnn2Cc1ccccc1)N1CCC1
XS843115a,O=C(NCC=1C=CC=2OCOC2C1)NC3CCS(=O)(=O)C3,1,O=C(NCc1ccc2c(c1)OCO2)NC1CCS(=O)(=O)C1
XS843113a,O=C(CC=1C=CC=C(Br)C1)NCC2CCCNC2,0,O=C(Cc1ccccc1)NCC1CCCNC1
XS843114a,CC1=NOC(=N1)C2CCN(C2)C(=O)C=3C=CC(Cl)=CC3F,0,O=C(c1ccccc1)N1CCC(c2ncno2)C1
XS545771b,CC1=NOC(CC2(O)CCCN(C2)C=3N=C(C)C=CC3C#N)=N1,0,c1ccc(N2CCCC(Cc3ncno3)C2)nc1
XS843111a,CC=1C=CC=2NC(=CC2C1)C(=O)N3CCCC(C3)N4C=CN=C4,1,O=C(c1cc2ccccc2[nH]1)N1CCCC(n2ccnc2)C1
XS838010b,CN(CC=1C=NNC1)C(C(=O)O)C=2C=CC(=CC2)C(F)(F)F,1,c1ccc(CNCc2cn[nH]c2)cc1
XS843116a,COC=1C=C(C=CC1OC(C)C(=O)NC2CCCC2)C(=O)O,0,O=C(COc1ccccc1)NC1CCCC1
XS838590b,CC1=NOC(=N1)C(NC=2C=NN3CCCOC23)C=4C=CC=CC4,0,c1ccc(C(Nc2cnn3c2OCCC3)c2ncno2)cc1
XS840955b,O=C(NC=1C=CC=C2C=COC12)C=3C=NC(=NC3)C4CCCN4,0,O=C(Nc1cccc2ccoc12)c1cnc(C2CCCN2)nc1
XS843120a,COC=1C=CC(=CC1)NC(=O)NC(C)C(=O)NC2CCCC2,0,O=C(CNC(=O)Nc1ccccc1)NC1CCCC1
XS735582b,CC(C)(C)NC(=O)C1CSCN1C(=O)CC=2C=CC=CC2,1,O=C(Cc1ccccc1)N1CCSC1
XS837113d,COC=1C=CC2=CC(=CC=C2C1)C(=O)NC(C)C=3C=NN(C)C3,1,O=C(NCc1cn[nH]c1)c1ccc2ccccc2c1
XS840582b,CN1C=C(C=N1)CC(=O)NC(CO)C=2C=CC(Cl)=C(F)C2,1,O=C(Cc1cn[nH]c1)NCc1ccccc1
XS843117a,CC=1C=NC(=CN1)C(=O)NCC(CC(C)C)N2CCOCC2,0,O=C(NCCN1CCOCC1)c1cnccn1
XS621655b,CN1N=CC=C1C2CCCN(C2)C=3C=C(N=CN3)NCC4CC4,0,c1cc(C2CCCN(c3cc(NCC4CC4)ncn3)C2)[nH]n1
XS837438b,CN=S(C)(=O)C=1C=CC=C(C1)NC(=O)C=2N=C(C)OC2C,0,O=C(Nc1ccccc1)c1cocn1
XS841268b,CN1C(=NC(=O)COCC2CCCO2)SC=3C=CC=CC31,1,O=C(COCC1CCCO1)N=c1[nH]c2ccccc2s1
XS836470b,CC1CCC2=NNC(C(=O)OCC3=CC=CN4N=CC=C34)=C2C1,1,O=C(OCc1cccn2nccc12)c1[nH]nc2c1CCCC2
XS837367c,CN1N=CC=2C=CC(=CC21)CNC=3C=CC=CC3C4CC4(F)F,0,c1ccc(C2CC2)c(NCc2ccc3cn[nH]c3c2)c1
XS549090b,COC=1C=CC2=C(C1)CCN2C(=O)C=3C=NN4CCC(C)CC34,1,O=C(c1cnn2c1CCCC2)N1CCc2ccccc21
XS842150b,O=C(NCC1CCC=CO1)C2=CC=3C(Cl)=CN=CC3S2,1,O=C(NCC1CCC=CO1)c1cc2ccncc2s1
XS330512b,CCC1=CC(=O)NC(=N1)C=2C=CC=C(C2)NC(=O)C3CCCN3,0,O=C(Nc1cccc(-c2nccc(=O)[nH]2)c1)C1CCCN1
XS843123a,CC(C)CN1CCN(CC1)C2CCCN(C=3C=NN(C)C3)C2=O,0,O=C1C(N2CCNCC2)CCCN1c1cn[nH]c1
XS843130a,CC1CN(CCO1)C=2C=CC(=CN2)CNC(=O)NC=3C=NNC3,0,O=C(NCc1ccc(N2CCOCC2)nc1)Nc1cn[nH]c1
XS837532b,C1=C(N=NN1C2CCC=3C=CC=NC32)C=4C=NC5=CC=CC=C5N4,1,c1cnc2c(c1)CCC2n1cc(-c2cnc3ccccc3n2)nn1
XS843124a,O=C(CN1N=C2C=CC=CN2C1=O)NC3CCN(C3=O)C4CC4,0,O=C(Cn1nc2ccccn2c1=O)NC1CCN(C2CC2)C1=O
XS715900b,CC(C(=O)NC=1C=CC=CC1)N2CCN(CC3=CC=CO3)CC2,0,O=C(CN1CCN(Cc2ccco2)CC1)Nc1ccccc1
XS843132a,CC(C)NC(=O)NCC=1C=CC(=CC1)N2CCCC(C2)C(N)=O,0,c1ccc(N2CCCCC2)cc1
XS843126a,CCN1CCN(CC1C2=NC=CN2)C(=O)CCC3=CC=C(C)O3,0,O=C(CCc1ccco1)N1CCNC(c2ncc[nH]2)C1
XS843121a,CC1=CSC(=N1)C2CCCCN2C(=O)C=3C=CC(=O)N(C)N3,0,O=C(c1ccc(=O)[nH]n1)N1CCCCC1c1nccs1
XS842034b,CC(C)C=1N=CC(=CN1)CN(C)C(=O)C(C)OC=2C=CC=CN2,0,O=C(COc1ccccn1)NCc1cncnc1
XS837966b,CCC1(CNC(=O)N2CCOC(CS(C)(=O)=O)C2)CCC1,1,O=C(NCC1CCC1)N1CCOCC1
XS420698b,CN1CC(CC1=O)C(=O)NC=2C=CC(=NC2)OCC(F)(F)F,1,O=C1CC(C(=O)Nc2cccnc2)CN1
XS843122a,CC1=CSC(=N1)C2CCCCN2C(=O)C=3N=COC3C(C)C,0,O=C(c1cocn1)N1CCCCC1c1nccs1
XS843131a,CC=1C=C(NC(=O)C(C)N(C)CCCCC=2C=CC=CC2)ON1,0,O=C(CNCCCCc1ccccc1)Nc1ccno1
XS843127a,NC(=O)C1=CC(=CN1)C(=O)N2CCC(F)(C2)C=3C=CC(F)=CC3,1,O=C(c1cc[nH]c1)N1CCC(c2ccccc2)C1
XS842372b,CN1C=CC(=N1)C=2NN=CC2C(=O)NCCC3COC(C)(C)C3,0,O=C(NCCC1CCOC1)c1cn[nH]c1-c1cc[nH]n1
XS843133a,O=C(NC=1C=CC=C(F)C1)N(CC2=CC=CO2)CC3CCCO3,1,O=C(Nc1ccccc1)N(Cc1ccco1)CC1CCCO1
XS843125a,CN1CC(CCC1=O)NS(=O)(=O)CC=2C(F)=CC=CC2F,0,O=C1CCC(NS(=O)(=O)Cc2ccccc2)CN1
XS843129a,O=C(NCCC=1C=CC=2OCOC2C1)NC3CCCCNC3=O,0,O=C(NCCc1ccc2c(c1)OCO2)NC1CCCCNC1=O
XS837098b,CCC(NC(=O)C=1N=C(SC1C)C2=CC=CO2)C3=NC=CN3,0,O=C(NCc1ncc[nH]1)c1csc(-c2ccco2)n1
XS841653b,CC(O)(C(=O)NCC=1C=CC=CC1N2C=NC=N2)C(F)(F)F,0,c1ccc(-n2cncn2)cc1
XS843128a,CCOC(=O)CN1C(=NC=2C=CC=CC21)C3CC(=O)N(CC)C3,0,O=C1CC(c2nc3ccccc3[nH]2)CN1
XS840112b,CC1C(=O)N(C)CCN1CC2=CSC(=N2)NC=3C=CC=CC3,1,O=C1CN(Cc2csc(Nc3ccccc3)n2)CCN1
XS837027b,O=C(C=1C=NC=C2C(=O)NC=CC12)N3CCCC(C3)OCCO,0,O=C(c1cncc2c(=O)[nH]ccc12)N1CCCCC1
XS839701b,CC1=CC=C(O1)C2CSCCN2CC=3N=NSC3Cl,1,c1coc(C2CSCCN2Cc2csnn2)c1
XS843138a,O=C(NCCC1=NC=2C=CC=CC2N1)C3COC=4C=CC=CC4C3,0,O=C(NCCc1nc2ccccc2[nH]1)C1COc2ccccc2C1
XS841434b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(C2)N3C=NC=N3,0,c1ccc(N2CCCC(n3cncn3)C2)cc1
XS843139a,CC(OC=1C=CC(Cl)=CC1)C(=O)NCC2=NN=C3CCCN23,1,O=C(COc1ccccc1)NCc1nnc2n1CCC2
XS740366b,NC(=O)C1CCN(C1)C(=O)C2=CC(=NN2C=3C=CC=CC3)C4CC4,0,O=C(c1cc(C2CC2)nn1-c1ccccc1)N1CCCC1
XS732695b,O=C(C=1C=CC=CC1OCC2CC2)N3CCCC(C3)N4C=CC=N4,1,O=C(c1ccccc1OCC1CC1)N1CCCC(n2cccn2)C1
XS843142a,CC(C=1C=CC=CC1)N(C(=O)CN2N=CC=3N=CC=CC32)C4CC4,0,O=C(Cn1ncc2ncccc21)N(Cc1ccccc1)C1CC1
XS841819b,CC=1C=CC=CC1C2C(=O)NCCN2C3=NN=C(S3)C(F)F,0,O=C1NCCN(c2nncs2)C1c1ccccc1
XS843141a,N#CC=1C=CC=C(C1)NC(=O)C2CCCN(C2)C(=O)C=3C=COC3,1,O=C(Nc1ccccc1)C1CCCN(C(=O)c2ccoc2)C1
XS839785b,CCC1=NOC(CC)=C1CNC(C)C2=CC=C(Br)O2,0,c1coc(CNCc2cnoc2)c1
XS841975b,CC=1N=CSC1C2=CN(N=N2)C3CCCC=C3Br,1,C1=CC(n2cc(-c3cncs3)nn2)CCC1
XS841030b,COCC1C=2C=CC=CC2CN1C=3N=CC(=CN3)S(=O)(=O)F,1,c1cnc(N2Cc3ccccc3C2)nc1
XS838656b,CC(CC=1C=CC=CC1O)NC=2N=CC(=CN2)N=S(C)(C)=O,0,c1ccc(CCNc2ncccn2)cc1
XS843136a,CC1=NNC(C)=C1C2COCCN2C(=O)NC=3C=CC=C(C#N)C3,0,O=C(Nc1ccccc1)N1CCOCC1c1cn[nH]c1
XS843134a,O=C(NCC(C1=CC=CO1)N2CCCC2)C3=CC=4C=CC=CC4N3,0,O=C(NCC(c1ccco1)N1CCCC1)c1cc2ccccc2[nH]1
XS685933b,O=S(=O)(NC=1C=NN(C1)CC2CCCO2)C=3C=CC=CC3F,1,O=S(=O)(Nc1cnn(CC2CCCO2)c1)c1ccccc1
XS842587b,CN1C=C(C=N1)C=2C=CC(=CC2)CNC3CCC(=O)NC43CCC4,0,O=C1CCC(NCc2ccc(-c3cn[nH]c3)cc2)C2(CCC2)N1
XS843135a,O=C(NC=1C=CC(F)=CC1)NC(CN2C=NC=N2)C=3C=CC=CC3,0,O=C(Nc1ccccc1)NC(Cn1cncn1)c1ccccc1
XS843144a,COCC(C)NC(=O)CN1C(=CC=2C=CC=CC21)C=3C=CC=CC3,0,c1ccc(-c2cc3ccccc3[nH]2)cc1
XS841408b,CC=1N=C(C=2CC(CCC2N1)C3=NC(=NO3)C4CC4)C(F)(F)F,1,c1ncc2c(n1)CCC(c1nc(C3CC3)no1)C2
XS843140a,COC=1C=CC=CC1NC(=O)N(C)C(C)C2=CC=3C=CC=CC3O2,1,O=C(NCc1cc2ccccc2o1)Nc1ccccc1
XS601021b,CCC1=NN2CC(CCC2=N1)NCC=3C=CN(N3)C=4C=CC=CC4,1,c1ccc(-n2ccc(CNC3CCc4ncnn4C3)n2)cc1
XS581602b,O=C(NC=1C=CC=C(C1)C=2C=CC=3OCCC3C2)C4CNC(=O)C4,1,O=C1CC(C(=O)Nc2cccc(-c3ccc4c(c3)CCO4)c2)CN1
XS843137a,CC=1N=C(SC1C(=O)O)C(C)NC(=O)C=2C=CC(F)=C(C)C2,1,O=C(NCc1nccs1)c1ccccc1
XS841612b,CC=1C=C(NCC2CC(=NO2)C(F)(F)F)C(F)=CC1[N+]([O-])=O,1,C1=NOC(CNc2ccccc2)C1
XS843145a,CC=1C=CC(C)=C(C1)NC(=O)NC2CCCN(C2)S(C)(=O)=O,0,O=C(Nc1ccccc1)NC1CCCNC1
XS843143a,COC(=O)C=1C=CC(=CC1)NC(=O)NCC(C)N2CCOCC2,0,O=C(NCCN1CCOCC1)Nc1ccccc1
XS843151a,CCN(CC)C(=O)C(C)NC(=O)C=1C=CC(=CC1)N2N=CC=C2C,1,c1ccc(-n2cccn2)cc1
XS483761b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(O)(CC(N)=O)C2,1,c1ccc(N2CCCCC2)cc1
XS843154a,O=C(NCC=1C=NN(C1)C=2C=CC=CC2)NC3CCCCNC3=O,1,O=C(NCc1cnn(-c2ccccc2)c1)NC1CCCCNC1=O
XS579383b,NC=1C=CC(=NN1)C2CCCN2C(=O)C3(CC3)C=4C=CC=CC4F,0,O=C(N1CCCC1c1cccnn1)C1(c2ccccc2)CC1
XS755929b,COC=1C=CC(=CC1)CC2CCCN2C(=O)CC=3C(C)=NOC3C,1,O=C(Cc1cnoc1)N1CCCC1Cc1ccccc1
XS843150a,CCC1=NC=2C=CC=CC2N1CC(O)COC=3C=CC(Cl)=CC3,1,c1ccc(OCCCn2cnc3ccccc32)cc1
