mol_id,smiles,rs,scaffold
XS843116a,COC=1C=C(C=CC1OC(C)C(=O)NC2CCCC2)C(=O)O,0.414,O=C(COc1ccccc1)NC1CCCC1
XS735582b,CC(C)(C)NC(=O)C1CSCN1C(=O)CC=2C=CC=CC2,0.65,O=C(Cc1ccccc1)N1CCSC1
XS840582b,CN1C=C(C=N1)CC(=O)NC(CO)C=2C=CC(Cl)=C(F)C2,0.75,O=C(Cc1cn[nH]c1)NCc1ccccc1
XS837438b,CN=S(C)(=O)C=1C=CC=C(C1)NC(=O)C=2N=C(C)OC2C,0.4,O=C(Nc1ccccc1)c1cocn1
XS841268b,CN1C(=NC(=O)COCC2CCCO2)SC=3C=CC=CC31,0.852,O=C(COCC1CCCO1)N=c1[nH]c2ccccc2s1
XS837367c,CN1N=CC=2C=CC(=CC21)CNC=3C=CC=CC3C4CC4(F)F,1.024,c1ccc(C2CC2)c(NCc2ccc3cn[nH]c3c2)c1
XS549090b,COC=1C=CC2=C(C1)CCN2C(=O)C=3C=NN4CCC(C)CC34,1.738,O=C(c1cnn2c1CCCC2)N1CCc2ccccc21
XS837532b,C1=C(N=NN1C2CCC=3C=CC=NC32)C=4C=NC5=CC=CC=C5N4,0.486,c1cnc2c(c1)CCC2n1cc(-c2cnc3ccccc3n2)nn1
XS843132a,CC(C)NC(=O)NCC=1C=CC(=CC1)N2CCCC(C2)C(N)=O,0.86,c1ccc(N2CCCCC2)cc1
XS843127a,NC(=O)C1=CC(=CN1)C(=O)N2CCC(F)(C2)C=3C=CC(F)=CC3,0.876,O=C(c1cc[nH]c1)N1CCC(c2ccccc2)C1
XS838679b,COC(=O)C1CCC=2C=C(C=CC2N1CC3=CCCOC3)OC,0.99,C1=C(CN2CCCc3ccccc32)COCC1
XS843129a,O=C(NCCC=1C=CC=2OCOC2C1)NC3CCCCNC3=O,1.24,O=C(NCCc1ccc2c(c1)OCO2)NC1CCCCNC1=O
XS843128a,CCOC(=O)CN1C(=NC=2C=CC=CC21)C3CC(=O)N(CC)C3,1.966,O=C1CC(c2nc3ccccc3[nH]2)CN1
XS841434b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(C2)N3C=NC=N3,0.664,c1ccc(N2CCCC(n3cncn3)C2)cc1
XS843139a,CC(OC=1C=CC(Cl)=CC1)C(=O)NCC2=NN=C3CCCN23,0.65,O=C(COc1ccccc1)NCc1nnc2n1CCC2
XS740366b,NC(=O)C1CCN(C1)C(=O)C2=CC(=NN2C=3C=CC=CC3)C4CC4,3.122,O=C(c1cc(C2CC2)nn1-c1ccccc1)N1CCCC1
XS843142a,CC(C=1C=CC=CC1)N(C(=O)CN2N=CC=3N=CC=CC32)C4CC4,0.4,O=C(Cn1ncc2ncccc21)N(Cc1ccccc1)C1CC1
XS841819b,CC=1C=CC=CC1C2C(=O)NCCN2C3=NN=C(S3)C(F)F,1.462,O=C1NCCN(c2nncs2)C1c1ccccc1
XS843141a,N#CC=1C=CC=C(C1)NC(=O)C2CCCN(C2)C(=O)C=3C=COC3,0.672,O=C(Nc1ccccc1)C1CCCN(C(=O)c2ccoc2)C1
XS841030b,COCC1C=2C=CC=CC2CN1C=3N=CC(=CN3)S(=O)(=O)F,0.462,c1cnc(N2Cc3ccccc3C2)nc1
XS843135a,O=C(NC=1C=CC(F)=CC1)NC(CN2C=NC=N2)C=3C=CC=CC3,0.378,O=C(Nc1ccccc1)NC(Cn1cncn1)c1ccccc1
XS843140a,COC=1C=CC=CC1NC(=O)N(C)C(C)C2=CC=3C=CC=CC3O2,0.67,O=C(NCc1cc2ccccc2o1)Nc1ccccc1
XS841612b,CC=1C=C(NCC2CC(=NO2)C(F)(F)F)C(F)=CC1[N+]([O-])=O,1.014,C1=NOC(CNc2ccccc2)C1
XS843151a,CCN(CC)C(=O)C(C)NC(=O)C=1C=CC(=CC1)N2N=CC=C2C,1.618,c1ccc(-n2cccn2)cc1
XS843154a,O=C(NCC=1C=NN(C1)C=2C=CC=CC2)NC3CCCCNC3=O,1.99,O=C(NCc1cnn(-c2ccccc2)c1)NC1CCCCNC1=O
XS755929b,COC=1C=CC(=CC1)CC2CCCN2C(=O)CC=3C(C)=NOC3C,0.514,O=C(Cc1cnoc1)N1CCCC1Cc1ccccc1
MR045844c,CC1=CC=C(O1)C2CSCCN2C(=O)C=3C=C4N=CC=CN4N3,1.17,O=C(c1cc2ncccn2n1)N1CCSCC1c1ccco1
XS127715b,O=C(NC1CCCC=2C=CC=CC21)C=3C=NC=C(Br)C3,1.094,O=C(NC1CCCc2ccccc21)c1cccnc1
XS624222b,COCC=1C=CC=C(C1)CN2N=C(C)C(=C2C)C3CCCC(=O)N3,1.002,O=C1CCCC(c2cnn(Cc3ccccc3)c2)N1
XS836792b,COC=1N=CC(=CC1Cl)C(C)NC=2C=CC=3CCNC(=O)C3C2,0.418,O=C1NCCc2ccc(NCc3cccnc3)cc21
XS842492b,CC(NC(=O)C=1C=CNN1)C=2C=CC(OC=3C=CC=NC3)=C(F)C2,0.438,O=C(NCc1ccc(Oc2cccnc2)cc1)c1cc[nH]n1
XS843172a,C=1SC(=NC1CN2CCCC2CC=3C=CC=CC3)C=4N=CC=CN4,1.346,c1ccc(CC2CCCN2Cc2csc(-c3ncccn3)n2)cc1
XS843158a,CCC(C)(C)NC(=O)CS(=O)CC1=CC(=NO1)C=2C=CC=CC2,0.62,c1ccc(-c2ccon2)cc1
XS842744b,NC1=NN2C=CC=CC2=C1C(=O)NCC3(CO)CCC=4C=CC=CC43,0.438,O=C(NCC1CCc2ccccc21)c1cnn2ccccc12
XS655878b,COC=1C=CC(=CC1)C2=NC(=CO2)CS(=O)CC3CCCCC3,0.764,O=S(Cc1coc(-c2ccccc2)n1)CC1CCCCC1
XS843170a,COC=1C=CC(F)=CC1C(C)NC(=O)CN2C=CC(=O)N(C)C2=O,0.514,O=C(Cn1ccc(=O)[nH]c1=O)NCc1ccccc1
XS841493b,CC(=O)NCC1CCN(C=2N=CN=C3C(F)=C(F)C=CC23)C41CC4,0.386,c1ccc2c(N3CCCC34CC4)ncnc2c1
XS843165a,COC=1C=CC(=CC1OC)C2CCCN2C(=O)C3=CC(Cl)=CN3,5.368,O=C(c1ccc[nH]1)N1CCCC1c1ccccc1
XS843164a,CCC(OC(=O)C1=CSC(=N1)C=2C=CC(=CC2)OC)C(=O)OC,1.172,c1ccc(-c2nccs2)cc1
XS839881b,CC1CN(CC2(CCC2)O1)C(=O)C3=CN(C)N=C3C4=CC=CS4,1.004,O=C(c1c[nH]nc1-c1cccs1)N1CCOC2(CCC2)C1
XS841113b,O=C(NC1=NC=C(S1)S(=O)(=O)F)C2(CC2)C3CCCCO3,0.532,O=C(Nc1nccs1)C1(C2CCCCO2)CC1
XS841607b,CC(C(=O)NC=1C=CC2=NSC=C2C1)N3C=CC(=N3)C(F)(F)F,0.452,O=C(Cn1cccn1)Nc1ccc2nscc2c1
XS695035b,CC=1C=CC=C(C1C)N2CC(CC2=O)C(=O)NCC=3C=CC(F)=CC3,2.246,O=C(NCc1ccccc1)C1CC(=O)N(c2ccccc2)C1
XS825870b,CC1=C(OC=2C=CC(F)=CC12)C(=O)NC(C)C3=NN=C4C=CC=CN34,0.58,O=C(NCc1nnc2ccccn12)c1cc2ccccc2o1
XS813863b,CC=1C=C(SC1C)C(=O)N(C)C(C)C=2C=CC(=CC2)N3C=NC=N3,0.498,O=C(NCc1ccc(-n2cncn2)cc1)c1cccs1
XS843186a,COC=1C=CC(=CC1)CCC(C)NC(=O)CC2=NOC=3C=CC=CC23,1.474,O=C(Cc1noc2ccccc12)NCCCc1ccccc1
XS728659b,O=C(C=1C=NN2CCCCC12)N3CCCC(CO)(C3)C=4C=CC=CC4,1.084,O=C(c1cnn2c1CCCC2)N1CCCC(c2ccccc2)C1
XS843182a,CC(NC(=O)NCC=1C=CC(=NC1)N2C=CC=N2)C=3C=CC=C(F)C3,0.76,O=C(NCc1ccccc1)NCc1ccc(-n2cccn2)nc1
XS839517b,CN1C=C(C=2C=CC=CC21)C3CCN(C3)C=4C=NC=C(N4)OCCO,1.126,c1ccc2c(C3CCN(c4cnccn4)C3)c[nH]c2c1
XS843184a,CNC(=O)C1CN(CCOC=2C=CC=C(C#N)C2)C=3C=CC=CC3O1,1.86,c1ccc(OCCN2CCOc3ccccc32)cc1
XS843189a,CCOC=1C=C(C=CC1C)NC(=O)NC2CCCN3N=C(CC)N=C23,1.388,O=C(Nc1ccccc1)NC1CCCn2ncnc21
XS841499b,CCOC(=O)C=1C=CN=NC1N2CCC=3C=CC(=CC3C(C)C2)OC,3.806,c1cnnc(N2CCc3ccccc3CC2)c1
XS843194a,CC=1C=CC(Cl)=CC1NC(=O)C2CC(=O)N(CC=3C=CC=CN3)C2,0.4,O=C(Nc1ccccc1)C1CC(=O)N(Cc2ccccn2)C1
XS843197a,CNC(=O)C(NC(=O)C=1C=CC(=O)N(CCOC)N1)C=2C=CC=CC2,7.966,O=C(NCc1ccccc1)c1ccc(=O)[nH]n1
XS843195a,CCCOC=1C=CC=CC1NC(=O)C2CC(=NO2)C=3C=CC=C(F)C3,4.514,O=C(Nc1ccccc1)C1CC(c2ccccc2)=NO1
XS843196a,COC=1C=CC(=CC1)N2CC(CC2=O)C(=O)NC=3C=CC=NC3OC,5.876,O=C(Nc1cccnc1)C1CC(=O)N(c2ccccc2)C1
XS837397b,CC1=NC(=NO1)C(C)S(=O)(=O)C2=NC(=CS2)C3CCCCC3,0.834,O=S(=O)(Cc1ncon1)c1nc(C2CCCCC2)cs1
XS628045b,CCOC=1C=CC(=CC1)NC(=O)C(C)NC(=O)COC=2C=CC=CC2,3.062,O=C(COc1ccccc1)NCC(=O)Nc1ccccc1
XS843193a,CCN1C=C(C#N)C(=O)N(CC(O)COC=2C=CC(C)=CC2C)C1=O,0.836,O=c1cc[nH]c(=O)n1CCCOc1ccccc1
XS176579b,CC1=CN=C(NC(=O)C2CC(=O)N(C2)C=3C=CC=4CCCC4C3)S1,6.436,O=C(Nc1nccs1)C1CC(=O)N(c2ccc3c(c2)CCC3)C1
XS843191a,O=C(NCC1=CC=CO1)C2CC(=O)N(C2)C=3C=CC=4OCCOC4C3,2.54,O=C(NCc1ccco1)C1CC(=O)N(c2ccc3c(c2)OCCO3)C1
XS839705b,CCCCS(=O)(=O)NC=1C=CC(=CC1)NC(C)C2=NN=C(C)O2,0.458,c1ccc(NCc2nnco2)cc1
XS693881b,CC=1N=C(SC(C)C=2C=CC(F)=C(Cl)C2)SC1CC(N)=O,0.344,c1ccc(CSc2nccs2)cc1
XS641335b,O=C(NC1CCN(CC=2C=CC=CC2)C1=O)C=3N=CC=C4C=CC=CC34,2.136,O=C(NC1CCN(Cc2ccccc2)C1=O)c1nccc2ccccc12
XS837888b,CC1=NC(C)=C(S1)C(C)NC(=O)NCC2=CC=3CCCCC3S2,1.216,O=C(NCc1cncs1)NCc1cc2c(s1)CCCC2
XS843207a,CC(C=1C=CC(=CC1)N2C=NC=N2)N(C)C(=O)C3=CC=4C=CC=CC4O3,0.678,O=C(NCc1ccc(-n2cncn2)cc1)c1cc2ccccc2o1
XS526362b,CCC1=C(C=NN1C=2C=CC=CC2Cl)NC(=O)C3CN(C)CCO3,1.418,O=C(Nc1cnn(-c2ccccc2)c1)C1CNCCO1
XS837916b,O=S1(=O)CC(CNC2=NC(=NS2)C3CCCC3)C=4C=CC=CC41,0.664,O=S1(=O)CC(CNc2nc(C3CCCC3)ns2)c2ccccc21
XS843200a,CC(C)C(=O)N1CCC(CC1)C(=O)N2CCCCCC2C3=CC=CO3,0.554,O=C(C1CCNCC1)N1CCCCCC1c1ccco1
XS843203a,COC=1C=CC(Cl)=CC1NC(=O)C(C)OC=2C=CC=CC2C(N)=O,0.778,O=C(COc1ccccc1)Nc1ccccc1
XS836610b,O=C1C=2C=CC=CC2NC(C=3C=CNN3)N1C=4C=CC=5OCCOC5C4,0.856,O=C1c2ccccc2NC(c2cc[nH]n2)N1c1ccc2c(c1)OCCO2
XS137916b,COC=1C=CC(=CC1Cl)NC(=O)CC(NC(C)=O)C=2C=CC=CC2,0.378,O=C(CCc1ccccc1)Nc1ccccc1
XS843199a,CC=1N=C(NC(=O)C2COCC(=O)N2CC=3C=CC=CC3)SC1C,0.934,O=C(Nc1nccs1)C1COCC(=O)N1Cc1ccccc1
XS843205a,CC(C)C=1C=CC(=CC1)OCCNC(=O)C(C)NC(=O)C2=CC=CO2,0.76,O=C(CNC(=O)c1ccco1)NCCOc1ccccc1
XS841542b,CC1=NOC(C)=C1CC(C)NC=2C=CC=C(N2)N3C=NC=4C=CC=CC43,0.764,c1cc(NCCc2cnoc2)nc(-n2cnc3ccccc32)c1
XS155429b,COC=1C=CC=CC1NC(=O)C(C)OC(=O)CCC=2C(C)=NOC2C,0.954,O=C(COC(=O)CCc1cnoc1)Nc1ccccc1
XS843217a,CC1CC=2C=CC=CC2N1CC3=NN=C4N(C)C(=O)C=5SC=CC5N34,2.252,O=c1[nH]c2nnc(CN3CCc4ccccc43)n2c2ccsc12
XS841640b,CC(NC(=O)C=1C=CC(F)=C2CCOC12)C=3C=CC(=CC3)N4C=NC=N4,0.458,O=C(NCc1ccc(-n2cncn2)cc1)c1cccc2c1OCC2
XS836504b,CC(C)C(F)C(=O)NC=1C=CC=C(C1)NC(=O)C=2C=C(O)C=C(C#N)C2,3.806,O=C(Nc1ccccc1)c1ccccc1
XS757104b,O=C(CC1=CNC=2N=CC=CC12)N3CCCC(CO)(C3)C=4C=CC=CC4,0.794,O=C(Cc1c[nH]c2ncccc12)N1CCCC(c2ccccc2)C1
XS843212a,CC=1C=C(C=CC1N2CCCC2=O)NC(C)C(=O)NC=3C=CC(F)=CC3,0.764,O=C(CNc1ccc(N2CCCC2=O)cc1)Nc1ccccc1
XS843208a,CC(C)N1C(=NC=2C=CC=CC21)C3CCCN(C3)C(=O)C=4C=NC=CN4,1.27,O=C(c1cnccn1)N1CCCC(c2nc3ccccc3[nH]2)C1
XS843218a,CN1N=CC=C1C(NC(=O)C2=CC=3C=CC(Cl)=C(F)C3N2)C(=O)O,0.458,O=C(NCc1ccn[nH]1)c1cc2ccccc2[nH]1
XS774830b,CCC1=C(C=NN1C=2C=CC=C(Cl)C2)C(=O)NC3CCOC(C)(C)C3,0.646,O=C(NC1CCOCC1)c1cnn(-c2ccccc2)c1
XS843220a,CC(C)C(NC(=O)C=1C=CC(F)=CC1)C(=O)N2CCC=3SC=CC3C2,1.4,O=C(NCC(=O)N1CCc2sccc2C1)c1ccccc1
XS836549b,CCC=1OC(C)=CC1C(=O)NC2CCN(C(=O)C=3N=CN(C)N3)C2(C)C,0.65,O=C(NC1CCN(C(=O)c2nc[nH]n2)C1)c1ccoc1
XS423604b,O=C(NC=1C=CC(F)=CC1)N2CCCC(C2)C3=NN=C4CCCCCN34,1.07,O=C(Nc1ccccc1)N1CCCC(c2nnc3n2CCCCC3)C1
XS836555b,O=C(OCC1CC2(CO1)CCOCC2)C=3C(Cl)=CC(F)=CC3Cl,0.668,O=C(OCC1CC2(CCOCC2)CO1)c1ccccc1
XS330437b,CCOC=1C=CC=CC1C=2C=CC=C(C2)C(=O)NC(CCOC)C(=O)O,0.72,c1ccc(-c2ccccc2)cc1
XS843226a,CC=1C=NN(C)C1C(=O)NCC(C2=CNC=3C=CC=CC23)C=4C=CC=CC4,1.17,O=C(NCC(c1ccccc1)c1c[nH]c2ccccc12)c1ccn[nH]1
XS843225a,COCCOC=1C=CC(=CC1OC)C(C)NC(=O)CC=2C(C)=NOC2C,0.842,O=C(Cc1cnoc1)NCc1ccccc1
XS839010b,FCC1(CNC=2C=C(C=3C=CC=CC3)N4N=CN=C4N2)CC51CCOCC5,0.626,c1ccc(-c2cc(NCC3CC34CCOCC4)nc3ncnn23)cc1
XS635896b,CC(OC=1C=CC(Br)=CC1)C(=O)NCC2=NC(=CS2)CO,0.718,O=C(COc1ccccc1)NCc1nccs1
XS057963g,CCC1C=2C=CSC2CCN1CC3=NC=4C=CC(Cl)=CC4N3CCO,0.574,c1ccc2[nH]c(CN3CCc4sccc4C3)nc2c1
XS714599b,CCN1C=C(C#N)C(=O)N(CC(=O)NC(C)C=2C=CC(=CC2)C(C)C)C1=O,0.666,O=C(Cn1c(=O)cc[nH]c1=O)NCc1ccccc1
XS843234a,CCC1=CC(=CC(=O)N1)C(=O)N2CCC(C2)(C3=NC(C)=NO3)C(F)(F)F,0.498,O=C(c1cc[nH]c(=O)c1)N1CCC(c2ncno2)C1
XS843235a,CC1=NN(C)C=C1C2CCCN2S(=O)(=O)CCC3=NOC=4C=CC=CC34,1.008,O=S(=O)(CCc1noc2ccccc12)N1CCCC1c1cn[nH]c1
XS743573b,CCN(C(=O)C1=CC=C(S1)C=2C=CC(F)=CC2)C3CCS(=O)(=O)C3,1.492,O=C(NC1CCS(=O)(=O)C1)c1ccc(-c2ccccc2)s1
XS843240a,CCCC1=NC(CN2CC(OC=3C=CC=CC32)C(=O)N4CCCCC4)=NO1,1.408,O=C(C1CN(Cc2ncon2)c2ccccc2O1)N1CCCCC1
XS842657b,CCOC(=O)C=1C=NN(CCN2CCCC(C2)C3=NOC(=N3)C4CC4)C1N,3.182,c1cnn(CCN2CCCC(c3noc(C4CC4)n3)C2)c1
XS843237a,COC=1C=CC(=CC1)S(=O)(=O)N2CCCC2C3=NC=4C=CC=CC4S3,2.54,O=S(=O)(c1ccccc1)N1CCCC1c1nc2ccccc2s1
XS842303b,CCC(C(=O)N1CCOC=2C=CC(=CC21)C(F)(F)F)C=3C(C)=NOC3C,0.916,O=C(Cc1cnoc1)N1CCOc2ccccc21
XS843231a,CN(CCOC=1C=CC(F)=CC1)C(=O)C=2C=CC(=CC2)OCC3CCCO3,0.418,O=C(NCCOc1ccccc1)c1ccc(OCC2CCCO2)cc1
XS843236a,CC(CC1=CNC=2C=CC(F)=CC12)NC(=O)C3=CC=4COCCC4NC3=O,0.83,O=C(NCCc1c[nH]c2ccccc12)c1cc2c([nH]c1=O)CCOC2
XS840568b,CC(COC=1C=CC=C(F)C1)NC(=O)NCC2=CN3C=C(Cl)C=CC3=N2,1.406,O=C(NCCOc1ccccc1)NCc1cn2ccccc2n1
XS843246a,CC=1C=CC(=CC1NC(=O)C2=CC=CO2)C(=O)OC(C)C(=O)NC3CCCC3,0.396,O=C(COC(=O)c1cccc(NC(=O)c2ccco2)c1)NC1CCCC1
XS474938b,CC(C)N(C)S(=O)(=O)C=1C=CC(=CC1)NC(=O)N2CCCC2C3CCC3,0.674,O=C(Nc1ccccc1)N1CCCC1C1CCC1
XS840008b,N#CC1=C(N=NN1C(C(N)=O)C=2C=CC=C(Br)C2)C=3C=CC=CC3,0.952,c1ccc(Cn2cc(-c3ccccc3)nn2)cc1
XS843253a,CC(OC(=O)C=1C=CC(=CC1)CN2C(=O)CCC2=O)C(=O)N3CCC(C)CC3,0.638,O=C(OCC(=O)N1CCCCC1)c1ccc(CN2C(=O)CCC2=O)cc1
XS843251a,CCOC=1C=CC(=CC1OCC)CCNC(=O)C2CC=3C=CC=CC3C(=O)O2,0.868,O=C1OC(C(=O)NCCc2ccccc2)Cc2ccccc21
XS843252a,CC=1C=CC=C(C1)NC(=O)C(C)SC=2C=CC(=CN2)S(=O)(=O)N(C)C,1.086,O=C(CSc1ccccn1)Nc1ccccc1
XS843242a,COCC1=C(SC=2C=CC=CC12)C(=O)NC(C)C=3C=CC(OC)=C(C3)OC,0.708,O=C(NCc1ccccc1)c1cc2ccccc2s1
XS843249a,CC(NC(=O)C=1C=CC(=CC1)N2CCCC2=O)C=3C=CC(=CC3)S(N)(=O)=O,0.432,O=C(NCc1ccccc1)c1ccc(N2CCCC2=O)cc1
XS841031b,CCN1C=C(C=N1)C2C=3NC=4C=CC(=CC4C3CCN2S(=O)(=O)F)OC,0.928,c1ccc2c3c([nH]c2c1)C(c1cn[nH]c1)NCC3
XS843255a,COC=1C=C(C=CC1OC(F)F)C(=O)OC(C)C(=O)NC2(C#N)CCCCC2,0.436,O=C(COC(=O)c1ccccc1)NC1CCCCC1
XS843264a,CCN1CC(CN(C)C(=O)C2=CSC(=N2)C=3C=NN(C)C3)OC=4C=CC=CC41,4.496,O=C(NCC1CNc2ccccc2O1)c1csc(-c2cn[nH]c2)n1
XS843261a,CC=1N=C(CC=2C=CC=CC2)SC1C(=O)N3CCC4=C(C=NN4C)C3C(N)=O,1.706,O=C(c1cnc(Cc2ccccc2)s1)N1CCc2[nH]ncc2C1
XS843267a,O=C(CC1=CSC(=N1)C=2C=CC(=CC2)C(F)(F)F)NC3CCCCNC3=O,0.598,O=C(Cc1csc(-c2ccccc2)n1)NC1CCCCNC1=O
XS843258a,CC=1C=CC=C(C1C)N2CC(CC2=O)C(=O)NC=3C=CC(=NC3)N4CCOCC4,5.432,O=C(Nc1ccc(N2CCOCC2)nc1)C1CC(=O)N(c2ccccc2)C1
XS837856b,O=C(CC(N1C=CC=N1)C(F)(F)F)N2CCCN(CC2)S(=O)(=O)C3CC3,0.4,O=C(CCn1cccn1)N1CCCN(S(=O)(=O)C2CC2)CC1
XS836814b,COC=1C=CC=C2CC(COC12)C(=O)NC=3C=C(Cl)C=C(C(N)=O)C3OC,7.126,O=C(Nc1ccccc1)C1COc2ccccc2C1
XS843259a,CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)NC(=O)C(NC(N)=O)C(C)C,0.566,O=S(=O)(c1ccccc1)N1CCCCC1
