mol_id,smiles
XS843063a,CC(NC(=O)C=1C=CC=CC1)C(=O)NC=2C=CC=CC2
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43
XS841943b,CC1(C)CNC(=O)C1NCC=2C=CC3=NON=C3C2
XS779015b,COC=1C=CC=C(C1)CNC(=O)C2CCC(=O)NC2
XS840220b,CC1=NN=C(O1)C(C)N(C)CCC2=NC=CS2
XS838498b,CC(C(=O)NC1=NNC=2C=CC=NC12)C=3C=CC=NC3
XS843064a,CC(CO)NC(=O)C=1SC=2C=CC=CC2C1Cl
XS778741b,NC1(CNC(=O)C2CC=3C=CC=CC32)CCCCC1
XS820591b,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2
XS836600b,CC1CN(CCO1)C(=O)NCCCN2C=NC=N2
XS843067a,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3
XS837046b,O=C(NC1=NC=2SC=CC2S1)C3CC=CCC3
XS843061a,NC(=O)C1(O)CCCN(C1)C=2C=CC(Cl)=CN2
XS600746b,ClC=1C=CC(=CC1)C2=NOC(=N2)C3CCCNC3
XS843066a,CC1CCCN(C1)C(=O)NC=2C=CC(=CC2)C(N)=O
XS061098d,CC1CC=2C=CC=CC2N1C(=O)C=3C=C(Cl)C=CN3
XS843077a,CC=1C=CC(=CN1)CNC(=O)C2COC=3C=CC=CC3C2
XS843073a,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2
XS843078a,NC(=O)NC(=O)C(C=1C=CC=CC1)N2CCCCCC2
XS843071a,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2
XS843069a,CC1C=2C=CSC2CCN1C(=O)C=3C=CC(C#N)=CC3
XS840076b,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F
XS552967b,CCC1CN(C(=O)C=2OC(C)=NC2C)C=3C=CC=CC3O1
XS841983b,CC1=CCC(CC1)NC(=O)C2(CC3(CCC3)C2)C(=O)O
XS838263b,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O
XS843080a,COC=1C=CC(C)=CC1S(=O)(=O)NCC2CCCO2
XS843070a,O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C3CCCC3
XS843068a,CC(SC=1C=CC(F)=CC1F)C(=O)N2CCNC2=O
XS843084a,CC(NC(=O)C1=NNC(=O)C=2C=CC=CC12)C3=CC=CO3
XS843072a,CC(NC(=O)C=1C=CC=2NC(=O)CCC2C1)C3=CC=CO3
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C
XS393537b,O=C(O)CC(NC(=O)C1CCCC1)C=2C=CC(F)=CC2
XS843074a,CCC(C)NC(=O)COC=1C=C(C=CC1C(N)=O)OC
XS843082a,CCN(CC(C)C#N)C(=O)CCN1C=CC=2C=CC=CC21
XS843075a,CC(NC(=O)N(C)CC=1C=NN(C)C1)C2=CC=CS2
XS843083a,CC(SCC(=O)NC(N)=O)C=1C(F)=CC=CC1F
XS843081a,CCC(C)(C#N)NC(=O)C=1C=CC=C(C1)S(C)(=O)=O
XS836485b,CCN1C=CN=C(C1=O)N2CCC(O)(C2)C(F)(F)F
XS390381b,O=C1NCCCCC1NCC=2C=CC=3OCCOC3C2
XS838593b,COCC1=NSC(CN2CC(C)C=3C=CC=CC32)=N1
XS843076a,O=C(NCC1=CC=CO1)C2CCCN2CC=3C=CC=CC3
XS843079a,CC(C)C1=CC(=NN1)C(=O)NC2CCOC=3C=CC=CC32
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O
XS843093a,COCCOC=1C=CC(=CN1)NC(=O)C2CCC(=O)NC2
XS546353b,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3
XS840114b,CCOC=1C=CC=C(CC(=O)N2CC(N)C3(CCC3)C2)N1
XS843096a,CCN1CCCC1CNCC2=CNN=C2C3=CC=C(C)O3
XS811069b,COC=1C=CC=CC1NC(=O)NCCN2CCCCC2C
XS843094a,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3
XS843097a,CCC1=NC(=NO1)C2CCCN2CC3=NN=C(O3)C4CC4
XS606153b,CCN(CC)C(CNC(=O)C1=CC=CO1)C=2C=CC=CC2
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3
XS599656b,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3
XS672689b,O=C(C=1C=CC=NC1O)N2CCCC2CCC=3C=CC=CC3
XS838415b,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34
XS843087a,CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2CC=CCC2
XS843092a,O=C(NC1CCCCNC1=O)C2=CSC=3CCCCC23
XS843086a,CC(=O)N1CCCN(CC1)C(=O)C2COC=3C=CC=CC32
XS840670b,O=C(NC=1C=NNC1)C2CC(=NO2)C3=CC=C(Cl)S3
XS746901b,CC1=CSC(=N1)C2COCCN2CC=3C=CC=C(O)C3
XS677064b,CC1=CC=C(O1)C(=O)N2CCCC(O)(CN3C=CN=N3)C2
XS843090a,O=C(C=1C=CC2=CN=CN2C1)N3CCCCC3C4=NC=CN4
XS840712b,CC1(CCCCC1(F)F)C2=NC(=NO2)N3CCOCC3
XS843088a,CCOC=1C=CC(Cl)=CC1S(=O)(=O)NCC(C)O
XS331669b,O=C(C=1C=CC(O)=NC1)N2CCOC(CN3C=CN=N3)C2
XS843085a,CC=1N=NC(=C(C#N)C1C)N2CCC(C2)N3CCOCC3
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34
XS843091a,O=C1NCCCCC1SC2=NC(=CN2)C=3C=CC=CC3
XS843109a,COC(=O)C(NC(=O)C=1C=CC(=NC1)N2C=CN=C2)C(C)C
XS843107a,CN1C=CC(=C1)C(=O)N2CCCCC2C=3NN=CC3C(N)=O
XS838057b,CCOC(=O)C1=COC(=N1)NC2COC=3C=C(C#N)C=CC32
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3
XS843100a,CC(C(=O)NC(C)(C)C)N1CCN(CC=2C=CC=CC2)CC1
XS416024b,COC=1C=CC(=CC1)C2=NOC(=N2)N3CCC4(CCNC4)C3
XS839585b,COC1(CNCC=2C=NC=C(F)C2)CCCS(=O)(=O)C1
XS843105a,CCN1CCN(CC1C2=NC=CN2)C(=O)C=3C(C)=COC3C
XS744525b,CCNC(=O)C1CCCN(C1)C=2C=CC=C(N2)C(F)(F)F
XS843110a,CC=1N=CSC1C(=O)NC(C)C2=NN=C3CCCCCN23
XS840330b,CCOC(=O)C(NC(=O)C=1C=C(C)C=C(O)C1)C2=NN=NN2
XS843102a,CC(NC(=O)C=1C=CC=CC1)C=2C=CC(=CC2)S(C)(=O)=O
XS843098a,CC1C2=CC=CN2CCN1CC(=O)NC3(C#N)CCCCC3
XS843103a,CC=1C=CC=C(C1)NC(=O)NC2CCSC=3C=CC=CC32
XS737839b,CC=1C=CC=CC1CN2CCN(CC2)C(=O)C3CCC(=O)N3
XS560871b,CNC1CCCN(C1)C(=O)C2=CC=C(C=3C=CC=CC3)N2C
XS683147b,CCN1C=NN=C1CNC(=O)C2=CSC=3CC(C)CCC23
XS843101a,CN1C=CC=C1C(=O)N2CCN(CC2)C3CCCCNC3=O
XS836730b,CNC(=O)NC(=O)C(C)N(C)CC=1C=CC2=CC=CC=C2C1
XS843104a,O=C(NC1CCCCNC1=O)C=2N=CC=CC2C(F)(F)F
XS839649b,CC(C)C1=NC=2CCC(CC2N1)C(=O)N3N=CC(C#N)=C3N
XS657069b,CC1=NC(=CN1)C(=O)N2CCCC(C2)C3=NOC(=N3)C(C)C
XS838852b,NC1COC2=CC(=NN2C1)C(=O)N3CCC=4C=CC(O)=CC43
DR000792b,CC(C)CC1CCN(C1)C(=O)C=2C=CC(=CC2)N3C=CN=N3
XS843108a,CC(C)C(C)(C#N)NC(=O)CN(CC=1C=CC=CC1)C2CC2
XS843106a,CN1N=NC=C1CC(=O)N2CCCC2C=3C=CC(Cl)=CC3
XS702260b,CCC1=NC(CN2C(=O)CC(C)(C2=O)C=3C=CC=CC3)=NO1
XS843118a,O=C(NC1CCCC2=C1C=NN2CC=3C=CC=CC3)N4CCC4
XS843115a,O=C(NCC=1C=CC=2OCOC2C1)NC3CCS(=O)(=O)C3
XS843113a,O=C(CC=1C=CC=C(Br)C1)NCC2CCCNC2
XS843114a,CC1=NOC(=N1)C2CCN(C2)C(=O)C=3C=CC(Cl)=CC3F
XS545771b,CC1=NOC(CC2(O)CCCN(C2)C=3N=C(C)C=CC3C#N)=N1
XS843111a,CC=1C=CC=2NC(=CC2C1)C(=O)N3CCCC(C3)N4C=CN=C4
XS837883b,NC(CNC(=O)C1=CC=CN2C=C(N=C12)C(F)(F)F)C3CC3
XS838010b,CN(CC=1C=NNC1)C(C(=O)O)C=2C=CC(=CC2)C(F)(F)F
XS843119a,O=C(CC1=CNC=2C=CC=CC12)N3CCCC(C3)C(F)(F)F
XS843116a,COC=1C=C(C=CC1OC(C)C(=O)NC2CCCC2)C(=O)O
XS838590b,CC1=NOC(=N1)C(NC=2C=NN3CCCOC23)C=4C=CC=CC4
XS840955b,O=C(NC=1C=CC=C2C=COC12)C=3C=NC(=NC3)C4CCCN4
XS843120a,COC=1C=CC(=CC1)NC(=O)NC(C)C(=O)NC2CCCC2
XS735582b,CC(C)(C)NC(=O)C1CSCN1C(=O)CC=2C=CC=CC2
XS837113d,COC=1C=CC2=CC(=CC=C2C1)C(=O)NC(C)C=3C=NN(C)C3
XS840582b,CN1C=C(C=N1)CC(=O)NC(CO)C=2C=CC(Cl)=C(F)C2
XS843117a,CC=1C=NC(=CN1)C(=O)NCC(CC(C)C)N2CCOCC2
XS843112a,CC=1C=CC(=CC1)C2=NC(=CO2)CNC3CCC4=NC=NN4C3
XS621655b,CN1N=CC=C1C2CCCN(C2)C=3C=C(N=CN3)NCC4CC4
XS837438b,CN=S(C)(=O)C=1C=CC=C(C1)NC(=O)C=2N=C(C)OC2C
XS836470b,CC1CCC2=NNC(C(=O)OCC3=CC=CN4N=CC=C34)=C2C1
XS837367c,CN1N=CC=2C=CC(=CC21)CNC=3C=CC=CC3C4CC4(F)F
XS549090b,COC=1C=CC2=C(C1)CCN2C(=O)C=3C=NN4CCC(C)CC34
XS842150b,O=C(NCC1CCC=CO1)C2=CC=3C(Cl)=CN=CC3S2
XS330512b,CCC1=CC(=O)NC(=N1)C=2C=CC=C(C2)NC(=O)C3CCCN3
XS843123a,CC(C)CN1CCN(CC1)C2CCCN(C=3C=NN(C)C3)C2=O
XS843130a,CC1CN(CCO1)C=2C=CC(=CN2)CNC(=O)NC=3C=NNC3
XS837532b,C1=C(N=NN1C2CCC=3C=CC=NC32)C=4C=NC5=CC=CC=C5N4
XS843124a,O=C(CN1N=C2C=CC=CN2C1=O)NC3CCN(C3=O)C4CC4
XS715900b,CC(C(=O)NC=1C=CC=CC1)N2CCN(CC3=CC=CO3)CC2
XS843132a,CC(C)NC(=O)NCC=1C=CC(=CC1)N2CCCC(C2)C(N)=O
XS843126a,CCN1CCN(CC1C2=NC=CN2)C(=O)CCC3=CC=C(C)O3
XS843121a,CC1=CSC(=N1)C2CCCCN2C(=O)C=3C=CC(=O)N(C)N3
XS842034b,CC(C)C=1N=CC(=CN1)CN(C)C(=O)C(C)OC=2C=CC=CN2
XS837966b,CCC1(CNC(=O)N2CCOC(CS(C)(=O)=O)C2)CCC1
XS420698b,CN1CC(CC1=O)C(=O)NC=2C=CC(=NC2)OCC(F)(F)F
XS843122a,CC1=CSC(=N1)C2CCCCN2C(=O)C=3N=COC3C(C)C
XS843131a,CC=1C=C(NC(=O)C(C)N(C)CCCCC=2C=CC=CC2)ON1
XS843127a,NC(=O)C1=CC(=CN1)C(=O)N2CCC(F)(C2)C=3C=CC(F)=CC3
XS842372b,CN1C=CC(=N1)C=2NN=CC2C(=O)NCCC3COC(C)(C)C3
XS843133a,O=C(NC=1C=CC=C(F)C1)N(CC2=CC=CO2)CC3CCCO3
XS838679b,COC(=O)C1CCC=2C=C(C=CC2N1CC3=CCCOC3)OC
XS843125a,CN1CC(CCC1=O)NS(=O)(=O)CC=2C(F)=CC=CC2F
XS843129a,O=C(NCCC=1C=CC=2OCOC2C1)NC3CCCCNC3=O
XS837098b,CCC(NC(=O)C=1N=C(SC1C)C2=CC=CO2)C3=NC=CN3
XS841653b,CC(O)(C(=O)NCC=1C=CC=CC1N2C=NC=N2)C(F)(F)F
XS843128a,CCOC(=O)CN1C(=NC=2C=CC=CC21)C3CC(=O)N(CC)C3
XS840112b,CC1C(=O)N(C)CCN1CC2=CSC(=N2)NC=3C=CC=CC3
XS839792b,O=S(=O)(C=1C=CC=CC1N2CCCC(C2)C3CC3)C(F)F
XS837027b,O=C(C=1C=NC=C2C(=O)NC=CC12)N3CCCC(C3)OCCO
XS839701b,CC1=CC=C(O1)C2CSCCN2CC=3N=NSC3Cl
XS843138a,O=C(NCCC1=NC=2C=CC=CC2N1)C3COC=4C=CC=CC4C3
XS841434b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(C2)N3C=NC=N3
XS843139a,CC(OC=1C=CC(Cl)=CC1)C(=O)NCC2=NN=C3CCCN23
XS740366b,NC(=O)C1CCN(C1)C(=O)C2=CC(=NN2C=3C=CC=CC3)C4CC4
XS732695b,O=C(C=1C=CC=CC1OCC2CC2)N3CCCC(C3)N4C=CC=N4
XS843142a,CC(C=1C=CC=CC1)N(C(=O)CN2N=CC=3N=CC=CC32)C4CC4
XS841819b,CC=1C=CC=CC1C2C(=O)NCCN2C3=NN=C(S3)C(F)F
XS843141a,N#CC=1C=CC=C(C1)NC(=O)C2CCCN(C2)C(=O)C=3C=COC3
XS839785b,CCC1=NOC(CC)=C1CNC(C)C2=CC=C(Br)O2
XS841975b,CC=1N=CSC1C2=CN(N=N2)C3CCCC=C3Br
XS841030b,COCC1C=2C=CC=CC2CN1C=3N=CC(=CN3)S(=O)(=O)F
XS838656b,CC(CC=1C=CC=CC1O)NC=2N=CC(=CN2)N=S(C)(C)=O
XS843136a,CC1=NNC(C)=C1C2COCCN2C(=O)NC=3C=CC=C(C#N)C3
XS843134a,O=C(NCC(C1=CC=CO1)N2CCCC2)C3=CC=4C=CC=CC4N3
XS685933b,O=S(=O)(NC=1C=NN(C1)CC2CCCO2)C=3C=CC=CC3F
XS842587b,CN1C=C(C=N1)C=2C=CC(=CC2)CNC3CCC(=O)NC43CCC4
XS843135a,O=C(NC=1C=CC(F)=CC1)NC(CN2C=NC=N2)C=3C=CC=CC3
XS843144a,COCC(C)NC(=O)CN1C(=CC=2C=CC=CC21)C=3C=CC=CC3
XS841408b,CC=1N=C(C=2CC(CCC2N1)C3=NC(=NO3)C4CC4)C(F)(F)F
XS843140a,COC=1C=CC=CC1NC(=O)N(C)C(C)C2=CC=3C=CC=CC3O2
XS601021b,CCC1=NN2CC(CCC2=N1)NCC=3C=CN(N3)C=4C=CC=CC4
XS581602b,O=C(NC=1C=CC=C(C1)C=2C=CC=3OCCC3C2)C4CNC(=O)C4
XS843137a,CC=1N=C(SC1C(=O)O)C(C)NC(=O)C=2C=CC(F)=C(C)C2
XS841612b,CC=1C=C(NCC2CC(=NO2)C(F)(F)F)C(F)=CC1[N+]([O-])=O
XS843145a,CC=1C=CC(C)=C(C1)NC(=O)NC2CCCN(C2)S(C)(=O)=O
XS843143a,COC(=O)C=1C=CC(=CC1)NC(=O)NCC(C)N2CCOCC2
XS843151a,CCN(CC)C(=O)C(C)NC(=O)C=1C=CC(=CC1)N2N=CC=C2C
XS483761b,N#CC=1C=C(C=CC1C(F)(F)F)N2CCCC(O)(CC(N)=O)C2
XS843154a,O=C(NCC=1C=NN(C1)C=2C=CC=CC2)NC3CCCCNC3=O
XS579383b,NC=1C=CC(=NN1)C2CCCN2C(=O)C3(CC3)C=4C=CC=CC4F
XS755929b,COC=1C=CC(=CC1)CC2CCCN2C(=O)CC=3C(C)=NOC3C
XS843150a,CCC1=NC=2C=CC=CC2N1CC(O)COC=3C=CC(Cl)=CC3
XS843149a,CC=1C=C(N)N=C(N1)SCC(=O)N2C=3C=CC=CC3CCC2C
XS500395b,O=C(CN1CCCCC(O)C1=O)NC=2C=NN(C2)C=3C=CC=CC3
MR045844c,CC1=CC=C(O1)C2CSCCN2C(=O)C=3C=C4N=CC=CN4N3
XS842695b,CC1=NN=C(O1)N2CCCC(C2)NC(=O)C3=CC=4C=CC=CC4O3
XS838219b,CC(CNS(=O)(=O)CCCF)C=1C(Cl)=CC=CC1Cl
XS843153a,O=S(=O)(NCC(C=1C=CC=CC1)N2CCCC2)C=3C=CC=CC3
XS843147a,N#CC=1C=CC(=CC1)OCCCN2CCOC(CN3C=CC=N3)C2
XS843146a,CC(CN1C=CC=N1)NS(=O)(=O)C=2C=CC=CC2OC(F)F
XS127715b,O=C(NC1CCCC=2C=CC=CC21)C=3C=NC=C(Br)C3
XS680773b,CC(NC(=O)NC=1C=CC=C(Cl)C1)C=2C=CC=3NC(=O)CC3C2
XS843155a,O=C(CC1=CNC=2C=CC=CC12)N3CCN(CC3)C4CCOC4=O
XS843156a,CC(C1CC1)N(C(=O)CN2C(=O)ON=C2C=3N=CC=CN3)C4CC4
XS624222b,COCC=1C=CC=C(C1)CN2N=C(C)C(=C2C)C3CCCC(=O)N3
XS836792b,COC=1N=CC(=CC1Cl)C(C)NC=2C=CC=3CCNC(=O)C3C2
XS843152a,CCN1C=NN=C1CNC(=O)C=2C=CC=CC2OCC3CCCO3
XS827038b,CC1=CC=C(CNC(=O)C2CC(=O)N(CC=3C=CC=CN3)C2)S1
XS842492b,CC(NC(=O)C=1C=CNN1)C=2C=CC(OC=3C=CC=NC3)=C(F)C2
XS837591b,COC=1C=CC(=CC1)COCCN(C)C(C)CC=2C=CC(O)=CC2
XS584713b,CCC(NC(=O)C=1C=NN(C1C)C(C)C)(C(=O)O)C=2C=CC=CC2
XS843148a,CC(C)NC(=O)CN(C)CC(O)COC=1C=CC=C2C=CC=CC12
XS843163a,CC(C)CC=1C=CC(=CC1)C(C)NC(=O)CSC2=NC=CN2C
XS843161a,CC1=CC(=O)NC=C1C(=O)N2CCCCC2C3=CC=4C=CC=CC4N3
XS843160a,CN1C=C(C(=O)NC2CC(=O)N(C)C2)C(=N1)C=3C=CC=CC3Cl
XS843172a,C=1SC(=NC1CN2CCCC2CC=3C=CC=CC3)C=4N=CC=CN4
XS843158a,CCC(C)(C)NC(=O)CS(=O)CC1=CC(=NO1)C=2C=CC=CC2
XS843171a,COC=1C=CC=C(C1)C(=O)N2N=C(CC2C3=CC=CO3)C4=CC=CO4
XS842744b,NC1=NN2C=CC=CC2=C1C(=O)NCC3(CO)CCC=4C=CC=CC43
XS680664b,CC1=CSC(=N1)C2CCCN(C2)C(=O)CC=3C=CN(N3)C(C)C
XS655878b,COC=1C=CC(=CC1)C2=NC(=CO2)CS(=O)CC3CCCCC3
XS838462b,O=C(NC1CCCC=2C=NNC21)C=3C=CC(=CC3)NC=4N=CC=CN4
XS843170a,COC=1C=CC(F)=CC1C(C)NC(=O)CN2C=CC(=O)N(C)C2=O
XS841493b,CC(=O)NCC1CCN(C=2N=CN=C3C(F)=C(F)C=CC23)C41CC4
XS475199b,CC=1C=CC(=CC1C#N)C(=O)N2CCCC(C2)C3=NN=C4CCCN34
XS843165a,COC=1C=CC(=CC1OC)C2CCCN2C(=O)C3=CC(Cl)=CN3
XS843167a,CCCC(C)NC(=O)CSCC1=NC(=NO1)C=2C=CC=CC2C
XS843166a,O=C1OC(=NN1CC(O)COC=2C=CC=CC2F)C3=CC=CS3
XS843162a,CCN(C)C(=O)C(C)NC(=O)C(C)(C)C=1C=CC=2OCCOC2C1
XS843168a,O=C(O)CC(NC(=O)C=1C=C(NN1)C2CC2)C=3C=CC=CC3Cl
XS843164a,CCC(OC(=O)C1=CSC(=N1)C=2C=CC(=CC2)OC)C(=O)OC
XS839881b,CC1CN(CC2(CCC2)O1)C(=O)C3=CN(C)N=C3C4=CC=CS4
XS838322b,N#CC=1C=CC=C(C1)CC(N)C(=O)NC=2C=CC=C3NC(=O)C=CC23
XS841113b,O=C(NC1=NC=C(S1)S(=O)(=O)F)C2(CC2)C3CCCCO3
XS839866b,CCC(C)OCC(=O)N1CC(C)(C1)C2=NN=C(O2)C3=CN(C)C=N3
XS843159a,CC1=NOC(=N1)C(C)N2CCN(CC3=NN=C(C4CC4)N3C)CC2
XS843157a,CCCC(=O)NCC1CCCN(C1)C(=O)CC=2C=CC=C(C2)OC
XS843175a,O=C(O)C1CN(C=2C=CC=CC21)S(=O)(=O)C=3C=CC(Cl)=CC3
XS841607b,CC(C(=O)NC=1C=CC2=NSC=C2C1)N3C=CC(=N3)C(F)(F)F
XS843173a,CC1=CC=CN2C(=O)C=C(CNC(C=3C=CC(F)=CC3)C(C)C)N=C12
XS823363b,O=C(NCC1CC=2C=CC=CC2O1)C=3C=CC=NC3N4CCCCC4
XS843183a,COC=1C=C(C=CC1OC2CCCC2)C(=O)NC(C)C=3C=CC=NC3
XS695035b,CC=1C=CC=C(C1C)N2CC(CC2=O)C(=O)NCC=3C=CC(F)=CC3
XS825870b,CC1=C(OC=2C=CC(F)=CC12)C(=O)NC(C)C3=NN=C4C=CC=CN34
XS843177a,COC=1C=C(N=CN1)C2=NOC(=N2)C3CC(C)(C)OC=4C=CC=CC43
XS843180a,CC=1C=CC(C)=C(C1)NC(=O)CN(C)C(=O)CC(C)C=2C=CC=CC2
XS813863b,CC=1C=C(SC1C)C(=O)N(C)C(C)C=2C=CC(=CC2)N3C=NC=N3
XS843185a,CC(=O)NCC1=CC=C(S1)S(=O)(=O)NC(C)C=2C=CC=CC2
XS843181a,O=C(C1NCC=2N=CN=CC21)N3CCCN(CC=4C=CC=CC4)CC3
XS837112b,CCN(CC=1OC=2C=CC=CC2C1Br)CC(C)C(=O)O
XS843176a,CC(C)N1CCC(NS(=O)(=O)CC2=NOC=3C=CC=CC23)C1=O
XS843186a,COC=1C=CC(=CC1)CCC(C)NC(=O)CC2=NOC=3C=CC=CC23
XS728659b,O=C(C=1C=NN2CCCCC12)N3CCCC(CO)(C3)C=4C=CC=CC4
XS618845b,O=C(NC=1C=CC=C(Cl)C1)N2CCCC2C3=NC=4C=CC=CC4N3
XS843179a,CC1=NC=2C=CC(=CC2S1)NC(=O)C(C)NC(=O)C=3C=CC=CC3
XS843174a,CC1CCCN(C1)S(=O)(=O)C=2C=C(C(=O)NC3CCC3)N(C)C2
XS843182a,CC(NC(=O)NCC=1C=CC(=NC1)N2C=CC=N2)C=3C=CC=C(F)C3
XS822042b,O=C(NC1CCCN(C1)C2=NC=CNC2=O)C3=CC=4C=CC=CC4N3
XS839517b,CN1C=C(C=2C=CC=CC21)C3CCN(C3)C=4C=NC=C(N4)OCCO
XS843178a,NC(CNC(=O)C1=CN(N=N1)C=2C=CC=C(C2)C(F)(F)F)C3CC3
XS841445b,NC(=O)C(C=1C=CC=CC1)N2CCN(CC2)C3=NC=CN4C=NC=C34
XS843184a,CNC(=O)C1CN(CCOC=2C=CC=C(C#N)C2)C=3C=CC=CC3O1
XS843192a,CCN1CCCC1CNC(=O)C=2C=CC(=O)N(CC=3C=CC=CC3)N2
XS843198a,CC(NC(=O)C=1C=NC=C(Br)C1)C(=O)N2CCOCC2
XS843189a,CCOC=1C=C(C=CC1C)NC(=O)NC2CCCN3N=C(CC)N=C23
XS840823b,CC(CC1=CC=CS1)C(=O)N2CCN(CC2)C(=O)C=3C=CN=CC3
XS841499b,CCOC(=O)C=1C=CN=NC1N2CCC=3C=CC(=CC3C(C)C2)OC
XS843194a,CC=1C=CC(Cl)=CC1NC(=O)C2CC(=O)N(CC=3C=CC=CN3)C2
XS843197a,CNC(=O)C(NC(=O)C=1C=CC(=O)N(CCOC)N1)C=2C=CC=CC2
XS843195a,CCCOC=1C=CC=CC1NC(=O)C2CC(=NO2)C=3C=CC=C(F)C3
XS843196a,COC=1C=CC(=CC1)N2CC(CC2=O)C(=O)NC=3C=CC=NC3OC
XS837397b,CC1=NC(=NO1)C(C)S(=O)(=O)C2=NC(=CS2)C3CCCCC3
XS838814b,CN1N=NC(CN2CC(CS2(=O)=O)C=3C=CC=CC3)=C1C(F)F
XS628045b,CCOC=1C=CC(=CC1)NC(=O)C(C)NC(=O)COC=2C=CC=CC2
XS843188a,CCNC(=O)CCC(=O)NC(C)C=1C=CC(=CC1)N2N=C(C)C=C2C
XS745371b,CCCN(C(=O)CN1C=NC=N1)C2CCCN(CC=3C=CC=CC3)C2
XS843193a,CCN1C=C(C#N)C(=O)N(CC(O)COC=2C=CC(C)=CC2C)C1=O
XS176579b,CC1=CN=C(NC(=O)C2CC(=O)N(C2)C=3C=CC=4CCCC4C3)S1
XS843191a,O=C(NCC1=CC=CO1)C2CC(=O)N(C2)C=3C=CC=4OCCOC4C3
XS843190a,CC=1C=NN(C1)CC2=CC(=NO2)C(=O)N3CCCC3CN4C=NC=N4
