,SGC ID for Component,Comp Acc Mass,mz,SMILES,IA,IA_Peak1,IA_Peak2,IA_Rs,IA_ΔRT,IA_Mean RT,k1,k2,IA_α,IB,IB_Peak1,IB_Peak2,IB_Rs,IB_ΔRT,IB_Mean RT,k1,k2,IB_α,IC,IC_Peak1,IC_Peak2,IC_Rs,IC_ΔRT,IC_Mean RT,k1,k2,IC_α,IG,IG_Peak1,IG_Peak2,IG_Rs,IG_ΔRT,IG_Mean RT,k1,k2,IG_α
11,XS843048a,231.1007767,232.1080617,C=1C=CC(=CC1)C2=NOC(=N2)C3COCCN3,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
12,XS843057a,249.1113413,250.1186263,COC=1N=CC=CC1NC(=O)C2CCC(=O)NC2,single,,,,,,,,,single,,,,,,,,,GREEN,10.089,10.331,0.484,0.242,10.21,19.178,20.662,1.077380332,single,,,,,,,,
13,XS843046a,222.1168413,223.1241263,CC1CN(CCN1)C(=O)C=2C=CC=CC2F,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
14,XS843044a,247.1433102,248.1505952,CC=1C=C(CN2CCCC2CN3C=NC=N3)ON1,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
15,XS843055a,217.0884977,218.0957827,CCC(C)NS(=O)(=O)C=1C=NN(C)C1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,
16,XS843050a,212.073182,213.080467,CCC1=NSC(=N1)NC2CNC(=O)C2,GREEN,5.942,6.601,1.318,0.659,6.2715,10.884,12.202,1.121095186,single,,,,,,,,,check,,,,,,,,,GREEN,7.275,9.343,4.136,2.068,8.309,13.55,17.686,1.305239852
17,XS843059a,243.1007767,244.1080617,O=C(NC=1C=CNN1)C2COC=3C=CC=CC3C2,GREEN,20.598,21.123,1.05,0.525,20.8605,40.196,41.246,1.026122002,GREEN,9.896,10.237,0.682,0.341,10.0665,18.792,19.474,1.036292039,check,,,,,,,,,RED,,,,,,,,
18,XS843056a,239.1269914,240.1342764,COCC(C)NC(=O)NC=1C=CC=NC1OC,single,,,,,,,,,check,,,,,,,,,GREEN,10.022,10.429,0.814,0.407,10.2255,19.044,20.858,1.095253098,GREEN,9.141,9.611,0.94,0.47,9.376,17.282,18.222,1.054391853
19,XS837873b,237.1299686,238.1372536,CC1=CC(C)=NC(=N1)N2CCSC(C)CC2,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.611,11.361,1.5,0.75,10.986,20.222,21.722,1.074176639
20,XS837370b,225.1265975,226.1338825,C=CC1CCCN1C=2N=CC=C3C=CC=NC23,GREEN,5.28,5.64,0.72,0.36,5.46,9.56,10.28,1.075313808,single,,,,,,,,,single,,,,,,,,,GREEN,6.974,7.323,0.698,0.349,7.1485,12.948,13.646,1.053907939
21,XS838638b,250.1106131,251.1178981,C=C1CC1C(=O)NC=2C=CC=CC2C=3C=CN=CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
22,XS843051a,208.1324111,209.1396961,CN1CCNCC1C2=NC(=NO2)C3CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
23,XS843045a,244.1211778,245.1284628,NC(CNC(=O)C1=CC=2C=CC=CC2O1)C3CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
24,XS837376b,245.1640456,246.1713306,CCC(C)C=1C=CC(=CC1)NCCC2=NN=NN2,check,,,,,,,,,check,,,,,,,,,single,,,,,,,,,GREEN,12.529,12.921,0.784,0.392,12.725,24.058,24.842,1.032587913
25,XS843052a,241.1327455,242.1400305,CC(NC=1N=CC=C(N1)C=2C=NC=CN2)C3CC3,GREEN,14.001,14.539,1.076,0.538,14.27,27.002,28.078,1.0398489,single,,,,,,,,,single,,,,,,,,,GREEN,20.754,20.993,0.478,0.239,20.8735,40.508,40.986,1.011800138
26,XS843054a,219.0895433,220.0968283,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,GREEN,11.816,12.649,1.666,0.833,12.2325,22.632,24.298,1.073612584,GREEN,10.056,10.674,1.236,0.618,10.365,19.112,20.348,1.064671411,GREEN,12.86,13.705,1.69,0.845,13.2825,24.72,27.41,1.10881877,GREEN,17.834,18.742,1.816,0.908,18.288,34.668,36.484,1.052382601
27,XS842097b,151.1109474,152.1182474,CCC(C)C=1N=CC(N)=CN1,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
28,XS441021b,271.1320768,272.1393618,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,GREEN,9.373,9.826,0.906,0.453,9.5995,17.746,18.652,1.051053759,GREEN,8.878,9.146,0.536,0.268,9.012,16.756,17.292,1.031988541,GREEN,11.891,12.265,0.748,0.374,12.078,22.782,24.53,1.076727241,GREEN,11.419,12.768,2.698,1.349,12.0935,21.838,24.536,1.123546112
29,XS843065a,272.1273258,273.1346108,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3,single,,,,,,,,,GREEN,6.71,7.094,0.768,0.384,6.902,12.42,13.188,1.061835749,GREEN,12.383,12.937,1.108,0.554,12.66,23.766,25.874,1.08869814,GREEN,8.871,9.524,1.306,0.653,9.1975,16.742,18.048,1.078007407
30,XS838024b,269.1627082,270.1699932,COCCN(CCOC)C(=O)C#CC1CCCCO1,single,,,,,,,,,single,,,,,,,,,GREEN,13.868,14.062,0.388,0.194,13.965,26.736,28.124,1.051915021,GREEN,18.78,20.591,3.622,1.811,19.6855,36.56,40.182,1.099070022
31,XS839968b,251.1092332,252.1165182,CC1=NN=C(CN(C)C(C)CC=2C=CSC2)O1,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,6.47,6.799,0.658,0.329,6.6345,11.94,12.598,1.055108878
32,XS843060a,256.1211778,257.1284628,O=C(CC=1C=CC=NC1)NC(CO)C=2C=CC=CC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,4.482,5.314,1.664,0.832,4.898,7.964,9.628,1.208940231
33,XS165904c,257.1164267,258.1237117,N#CC=1C=CC(=NC1)NCC(CO)CC2=CC=CO2,GREEN,13.099,14.001,1.804,0.902,13.55,25.198,27.002,1.071592984,single,,,,,,,,,single,,,,,,,,,GREEN,15.888,17.146,2.516,1.258,16.517,30.776,33.292,1.081752015
34,XS841996b,270.1732133,271.1804983,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C,GREEN,10.419,10.687,0.536,0.268,10.553,19.838,20.374,1.027018853,GREEN,10.151,10.562,0.822,0.411,10.3565,19.302,20.124,1.04258626,single,,,,,,,,,GREEN,11.361,11.879,1.036,0.518,11.62,21.722,22.758,1.047693583
35,XS839514b,265.0772643,266.0845493,O=C(N1CC=2C=CC=CC2CO1)C3(O)CCSC3,RED,,,,,,,,,GREEN,11.361,11.629,0.536,0.268,11.495,21.722,22.258,1.024675444,GREEN,13.131,13.471,0.68,0.34,13.301,25.262,26.942,1.066503048,GREEN,22.103,22.873,1.54,0.77,22.488,43.206,44.746,1.035643198
36,XS837495b,266.1201322,267.1274172,O=C(C1CCSC1)N2CCN(CC2)C=3C=NNC3,RED,,,,,,,,,single,,,,,,,,,GREEN,11.989,12.215,0.452,0.226,12.102,22.978,24.43,1.063190878,GREEN,14.177,16.383,4.412,2.206,15.28,27.354,31.766,1.161292681
37,XS843063a,268.1211778,269.1284628,CC(NC(=O)C=1C=CC=CC1)C(=O)NC=2C=CC=CC2,RED,,,,,,,,,GREEN,7.141,9.981,5.68,2.84,8.561,13.282,18.962,1.427646439,RED,,,,,,,,,RED,,,,,,,,
38,XS843062a,265.1327455,266.1400305,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,GREEN,12.008,13.108,2.2,1.1,12.558,23.016,25.216,1.09558568,GREEN,11.009,12.885,3.752,1.876,11.947,21.018,24.77,1.178513655,GREEN,13.083,14.295,2.424,1.212,13.689,25.166,28.59,1.136056584,GREEN,19.096,20.306,2.42,1.21,19.701,37.192,39.612,1.065067757
39,XS841943b,260.1273258,261.1346108,CC1(C)CNC(=O)C1NCC=2C=CC3=NON=C3C2,GREEN,5.698,6.513,1.63,0.815,6.1055,10.396,12.026,1.156791073,single,,,,,,,,,single,,,,,,,,,GREEN,10.111,12.557,4.892,2.446,11.334,19.222,24.114,1.254500052
40,XS779015b,262.1317424,263.1390274,COC=1C=CC=C(C1)CNC(=O)C2CCC(=O)NC2,single,,,,,,,,,GREEN,8.228,9.289,2.122,1.061,8.7585,15.456,17.578,1.137292961,GREEN,10.118,10.565,0.894,0.447,10.3415,19.236,21.13,1.098461219,single,,,,,,,,
41,XS840220b,252.1044821,253.1117671,CC1=NN=C(O1)C(C)N(C)CCC2=NC=CS2,GREEN,3.993,4.244,0.502,0.251,4.1185,6.986,7.488,1.071858002,single,,,,,,,,,single,,,,,,,,,GREEN,7.043,7.799,1.512,0.756,7.421,13.086,14.598,1.115543329
42,XS838498b,267.11201,268.119295,CC(C(=O)NC1=NNC=2C=CC=NC12)C=3C=CC=NC3,RED,,,,,,,,,check,,,,,,,,,single,,,,,,,,,GREEN,13.938,19.724,11.572,5.786,16.831,26.876,38.448,1.430570025
43,XS843064a,269.0277273,270.0350123,CC(CO)NC(=O)C=1SC=2C=CC=CC2C1Cl,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
44,XS778741b,258.1732133,259.1804983,NC1(CNC(=O)C2CC=3C=CC=CC32)CCCCC1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
45,XS820591b,270.1368278,271.1441128,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2,single,,,,,,,,,GREEN,9.782,9.981,0.398,0.199,9.8815,18.564,18.962,1.021439345,GREEN,9.299,9.634,0.67,0.335,9.4665,17.598,19.268,1.094897147,GREEN,12.817,13.444,1.254,0.627,13.1305,24.634,25.888,1.050905253
46,XS836600b,253.1538748,254.1611598,CC1CN(CCO1)C(=O)NCCCN2C=NC=N2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
47,XS843067a,261.0226419,262.0299269,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O,GREEN,10.132,10.351,0.438,0.219,10.2415,19.264,19.702,1.022736711,GREEN,9.365,9.668,0.606,0.303,9.5165,17.73,18.336,1.034179357,check,,,,,,,,,GREEN,11.119,11.504,0.77,0.385,11.3115,21.238,22.008,1.036255768
48,XS839908b,259.1320768,260.1393618,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,GREEN,10.198,10.925,1.454,0.727,10.5615,19.396,20.85,1.07496391,GREEN,9.858,10.343,0.97,0.485,10.1005,18.716,19.686,1.051827314,GREEN,12.509,12.937,0.856,0.428,12.723,24.018,25.874,1.077275377,GREEN,13.395,15.936,5.082,2.541,14.6655,25.79,30.872,1.197053121
49,XS840844b,258.1038134,259.1110984,CC=CCS(=O)(=O)C(C)C1=NC(=NO1)C(C)C,GREEN,10.084,10.304,0.44,0.22,10.194,19.168,19.608,1.022954925,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
50,XS837046b,264.039105,265.04639,O=C(NC1=NC=2SC=CC2S1)C3CC=CCC3,GREEN,20.092,21.972,3.76,1.88,21.032,39.184,42.944,1.095957534,single,,,,,,,,,check,,,,,,,,,single,,,,,,,,
51,XS843061a,255.0774544,256.0847394,NC(=O)C1(O)CCCN(C1)C=2C=CC(Cl)=CN2,GREEN,9.45,25.502,32.104,16.052,17.476,17.9,50.004,2.793519553,single,,,,,,,,,GREEN,8.44,8.891,0.902,0.451,8.6655,15.88,17.782,1.1197733,single,,,,,,,,
52,XS600746b,263.0825397,264.0898247,ClC=1C=CC(=CC1)C2=NOC(=N2)C3CCCNC3,GREEN,5.113,5.504,0.782,0.391,5.3085,9.226,10.008,1.08476046,single,,,,,,,,,single,,,,,,,,,GREEN,6.189,6.558,0.738,0.369,6.3735,11.378,12.116,1.064862014
53,XS843066a,261.1477268,262.1550118,CC1CCCN(C1)C(=O)NC=2C=CC(=CC2)C(N)=O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
54,XS061098d,272.0716407,273.0789257,CC1CC=2C=CC=CC2N1C(=O)C=3C=C(Cl)C=CN3,GREEN,13.866,14.443,1.154,0.577,14.1545,26.732,27.886,1.043169235,GREEN,12.753,13.176,0.846,0.423,12.9645,24.506,25.352,1.034522158,single,,,,,,,,,single,,,,,,,,
55,XS843077a,282.1368278,283.1441128,CC=1C=CC(=CN1)CNC(=O)C2COC=3C=CC=CC3C2,GREEN,5.387,5.757,0.74,0.37,5.572,9.774,10.514,1.07571107,single,,,,,,,,,single,,,,,,,,,GREEN,8.003,9.362,2.718,1.359,8.6825,15.006,17.724,1.181127549
56,XS843073a,278.1742759,279.1815609,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2,single,,,,,,,,,GREEN,9.184,9.375,0.382,0.191,9.2795,17.368,17.75,1.021994473,GREEN,14.537,16.25,3.426,1.713,15.3935,28.074,32.5,1.15765477,GREEN,12.453,13.219,1.532,0.766,12.836,23.906,25.438,1.06408433
57,XS843078a,275.1633769,276.1706619,NC(=O)NC(=O)C(C=1C=CC=CC1)N2CCCCCC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
58,XS843071a,276.1044821,277.1117671,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2,single,,,,,,,,,GREEN,10.913,11.741,1.656,0.828,11.327,20.826,22.482,1.07951599,GREEN,14.566,16.201,3.27,1.635,15.3835,28.132,32.402,1.151784445,GREEN,18.78,19.134,0.708,0.354,18.957,36.56,37.268,1.019365427
59,XS843069a,282.0826841,283.0899691,CC1C=2C=CSC2CCN1C(=O)C=3C=CC(C#N)=CC3,GREEN,13.541,13.971,0.86,0.43,13.756,26.082,26.942,1.032972932,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,
60,XS840076b,273.0837446,274.0910296,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F,GREEN,8.555,9.007,0.904,0.452,8.781,16.11,17.014,1.056114215,single,,,,,,,,,GREEN,9.973,10.204,0.462,0.231,10.0885,18.946,20.408,1.077166684,GREEN,10.381,16.317,11.872,5.936,13.349,19.762,31.634,1.600748912
61,XS552967b,286.1317424,287.1390274,CCC1CN(C(=O)C=2OC(C)=NC2C)C=3C=CC=CC3O1,check,,,,,,,,,GREEN,11.266,11.544,0.556,0.278,11.405,21.532,22.088,1.025822032,GREEN,14.8,15.291,0.982,0.491,15.0455,28.6,30.582,1.069300699,single,,,,,,,,
62,XS841983b,277.1677936,278.1750786,CC1=CCC(CC1)NC(=O)C2(CC3(CCC3)C2)C(=O)O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,
63,XS838263b,281.1164267,282.1237117,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O,GREEN,15.388,16.543,2.31,1.155,15.9655,29.776,32.086,1.077579258,GREEN,15.331,16.267,1.872,0.936,15.799,29.662,31.534,1.063111051,single,,,,,,,,,GREEN,19.134,20.093,1.918,0.959,19.6135,37.268,39.186,1.051465064
64,XS843080a,285.1034791,286.1107641,COC=1C=CC(C)=CC1S(=O)(=O)NCC2CCCO2,check,,,,,,,,,single,,,,,,,,,GREEN,14.197,15.048,1.702,0.851,14.6225,27.394,30.096,1.098634738,GREEN,13.68,14.072,0.784,0.392,13.876,26.36,27.144,1.029742033
65,XS843070a,273.1364935,274.1437785,O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C3CCCC3,single,,,,,,,,,check,,,,,,,,,GREEN,10.849,11.063,0.428,0.214,10.956,20.698,22.126,1.068992173,GREEN,11.821,12.174,0.706,0.353,11.9975,22.642,23.348,1.031180991
66,XS843068a,286.0587551,287.0660401,CC(SC=1C=CC(F)=CC1F)C(=O)N2CCNC2=O,check,,,,,,,,,single,,,,,,,,,check,,,,,,,,,single,,,,,,,,
67,XS843084a,283.0956913,284.1029763,CC(NC(=O)C1=NNC(=O)C=2C=CC=CC12)C3=CC=CO3,check,,,,,,,,,GREEN,11.047,11.266,0.438,0.219,11.1565,21.094,21.532,1.020764198,single,,,,,,,,,GREEN,14.33,21.021,13.382,6.691,17.6755,27.66,41.042,1.483803326
68,XS843072a,284.1160924,285.1233774,CC(NC(=O)C=1C=CC=2NC(=O)CCC2C1)C3=CC=CO3,RED,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,10.601,10.811,0.42,0.21,10.706,20.202,20.622,1.020790021
69,XS716684b,274.1317424,275.1390274,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,GREEN,11.242,16.067,9.65,4.825,13.6545,21.484,31.134,1.449171476,GREEN,10.371,10.722,0.702,0.351,10.5465,19.742,20.444,1.035558707,GREEN,11.549,11.754,0.41,0.205,11.6515,22.098,23.508,1.063806679,GREEN,15.84,26.199,20.718,10.359,21.0195,30.68,51.398,1.675293351
70,XS393537b,279.1270717,280.1343567,O=C(O)CC(NC(=O)C1CCCC1)C=2C=CC(F)=CC2,check,,,,,,,,,GREEN,7.931,8.122,0.382,0.191,8.0265,14.862,15.244,1.025703136,single,,,,,,,,,GREEN,8.324,8.535,0.422,0.211,8.4295,15.648,16.07,1.026968303
71,XS843074a,280.1423071,281.1495921,CCC(C)NC(=O)COC=1C=C(C=CC1C(N)=O)OC,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
72,XS843082a,283.1684623,284.1757473,CCN(CC(C)C#N)C(=O)CCN1C=CC=2C=CC=CC21,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,14.455,15.631,2.352,1.176,15.043,27.91,30.262,1.084270871
73,XS843075a,278.1201322,279.1274172,CC(NC(=O)N(C)CC=1C=NN(C)C1)C2=CC=CS2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.227,10.639,0.824,0.412,10.433,19.454,20.278,1.042356328
74,XS843083a,274.0587551,275.0660401,CC(SCC(=O)NC(N)=O)C=1C(F)=CC=CC1F,GREEN,9.758,10.113,0.71,0.355,9.9355,18.516,19.226,1.038345215,single,,,,,,,,,single,,,,,,,,,GREEN,12.021,13.652,3.262,1.631,12.8365,23.042,26.304,1.141567572
75,XS843081a,280.0881634,281.0954484,CCC(C)(C#N)NC(=O)C=1C=CC=C(C1)S(C)(=O)=O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,9.025,9.735,1.42,0.71,9.38,17.05,18.47,1.083284457
76,XS836485b,277.1038113,278.1110963,CCN1C=CN=C(C1=O)N2CCC(O)(C2)C(F)(F)F,single,,,,,,,,,check,,,,,,,,,single,,,,,,,,,GREEN,9.275,9.918,1.286,0.643,9.5965,17.55,18.836,1.073276353
77,XS390381b,276.1473925,277.1546775,O=C1NCCCCC1NCC=2C=CC=3OCCOC3C2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
78,XS838593b,275.1092332,276.1165182,COCC1=NSC(CN2CC(C)C=3C=CC=CC32)=N1,check,,,,,,,,,GREEN,13.817,14.048,0.462,0.231,13.9325,26.634,27.096,1.017346249,GREEN,15.213,15.525,0.624,0.312,15.369,29.426,31.05,1.055189288,GREEN,19.98,20.306,0.652,0.326,20.143,38.96,39.612,1.016735113
79,XS843076a,284.1524779,285.1597629,O=C(NCC1=CC=CO1)C2CCCN2CC=3C=CC=CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
80,XS841860b,274.1681279,275.1754129,CC(=CC=1C=CC=CC1)CN2CCOCC2CC(N)=O,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,5.762,6.257,0.99,0.495,6.0095,10.524,11.514,1.094070696
81,XS843079a,285.1477268,286.1550118,CC(C)C1=CC(=NN1)C(=O)NC2CCOC=3C=CC=CC32,GREEN,11.146,12.553,2.814,1.407,11.8495,21.292,24.106,1.132162314,single,,,,,,,,,single,,,,,,,,,GREEN,11.783,13.275,2.984,1.492,12.529,22.566,25.55,1.132234335
82,XS837307b,291.0677623,292.0750473,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,GREEN,9.96,12.687,5.454,2.727,11.3235,18.92,24.374,1.288266385,GREEN,9.031,9.744,1.426,0.713,9.3875,17.062,18.488,1.083577541,GREEN,12.481,12.821,0.68,0.34,12.651,23.962,25.642,1.070111009,GREEN,13.189,24.985,23.592,11.796,19.087,25.378,48.97,1.929624084
83,XS843093a,293.1375561,294.1448411,COCCOC=1C=CC(=CN1)NC(=O)C2CCC(=O)NC2,GREEN,8.555,9.114,1.118,0.559,8.8345,16.11,17.228,1.06939789,single,,,,,,,,,single,,,,,,,,,GREEN,14.809,18.513,7.408,3.704,16.661,28.618,36.026,1.258858061
84,XS546353b,288.1044821,289.1117671,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3,GREEN,12.649,13.368,1.438,0.719,13.0085,24.298,25.736,1.059181826,GREEN,12.007,12.339,0.664,0.332,12.173,23.014,23.678,1.028852003,single,,,,,,,,,GREEN,14.483,16.099,3.232,1.616,15.291,27.966,31.198,1.115568905
85,XS840114b,289.179027,290.186312,CCOC=1C=CC=C(CC(=O)N2CC(N)C3(CCC3)C2)N1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
86,XS843096a,288.1950114,289.2022964,CCN1CCCC1CNCC2=CNN=C2C3=CC=C(C)O3,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,,single,,,,,,,,
87,XS811069b,291.194677,292.201962,COC=1C=CC=CC1NC(=O)NCCN2CCCCC2C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,5.879,6.625,1.492,0.746,6.252,10.758,12.25,1.138687488
88,XS843094a,297.1364935,298.1437785,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3,single,,,,,,,,,GREEN,16.986,18.462,2.952,1.476,17.724,32.972,35.924,1.089530511,GREEN,15.174,16.65,2.952,1.476,15.912,29.348,33.3,1.134659943,GREEN,26.116,26.967,1.702,0.851,26.5415,51.232,52.934,1.033221424
89,XS843097a,289.1538748,290.1611598,CCC1=NC(=NO1)C2CCCN2CC3=NN=C(O3)C4CC4,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
90,XS606153b,286.1681279,287.1754129,CCN(CC)C(CNC(=O)C1=CC=CO1)C=2C=CC=CC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,4.747,5.177,0.86,0.43,4.962,8.494,9.354,1.10124794
91,XS758413b,294.1480612,295.1553462,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,GREEN,12.353,13.665,2.624,1.312,13.009,23.706,26.33,1.110689277,GREEN,11.931,12.623,1.384,0.692,12.277,22.862,24.246,1.060537136,GREEN,13.17,13.403,0.466,0.233,13.2865,25.34,26.806,1.057853197,GREEN,16.782,22.284,11.004,5.502,19.533,32.564,43.568,1.337919175
92,XS599656b,291.1371622,292.1444472,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3,GREEN,13.33,14.674,2.688,1.344,14.002,25.66,28.348,1.104754482,GREEN,12.254,12.548,0.588,0.294,12.401,23.508,24.096,1.025012762,single,,,,,,,,,GREEN,18.809,26.059,14.5,7.25,22.434,36.618,51.118,1.395980119
93,XS672689b,296.1524779,297.1597629,O=C(C=1C=CC=NC1O)N2CCCC2CCC=3C=CC=CC3,RED,,,,,,,,,single,,,,,,,,,GREEN,13.936,15.506,3.14,1.57,14.721,26.872,31.012,1.154063709,GREEN,11.648,12.193,1.09,0.545,11.9205,22.296,23.386,1.048887693
94,XS838415b,297.068431,298.075716,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34,GREEN,18.201,20.394,4.386,2.193,19.2975,35.402,39.788,1.123891306,GREEN,16.432,16.762,0.66,0.33,16.597,31.864,32.524,1.02071303,single,,,,,,,,,GREEN,24.715,27.388,5.346,2.673,26.0515,48.43,53.776,1.110386124
95,XS843087a,294.1038134,295.1110984,CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2CC=CCC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.486,11.428,1.884,0.942,10.957,19.972,21.856,1.094332065
